stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,55.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.85,0,0,9.69,5.34,0,0,0,0,0,0,0
 10-12,6.68,0,0,8.51,0,0,0,0,0,0,0,0,0,0,61.22,0,0,26.52,0,0,0,0,0,0,0,0
 14-21,0,0.94,0,0.93,0,0,0,0,0,0,1.79,0,0,0.87,3.08,0.99,0,5.41,3.3,1.12,14.06,0.9,1.03,0,0,0
 24-34,0,2.05,0.81,2.2,0,0,0,1.86,0,0,3.61,0,0,0.62,10.83,5.59,1.01,0,0.91,0,0,1.31,1.77,0,0,0
 36-46,0,0,0,0,3.94,0,0,1.07,0,0,3.31,0,0,0,5.28,4.38,0,0,2.43,0.81,0,0,0.91,0,0,0
 48-58,0,0.87,0,2.44,1.52,0.49,0,4.36,0,0,1.75,0,0,0,2.92,0.95,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,1.79,0,4.15,0,0,0,2.1,0,1.06,1.34,0,0,0,1.85,0.92,0,0,0,0,0,0,1.47,0,0.85,0
 72-82,0,1.03,0,0,0,0,0,9.48,0,0,2.99,1.83,2.87,0,8.76,3.27,0.81,0,0,0,0,0,0,0,9.7,0
 84-94,0,0,0,2.37,0,0,0.96,11.62,0.62,0,1.74,2.46,3.38,1.25,1.53,7.23,0,0,2.1,0,0,0,0,0,12.85,0
 96-106,0,1.27,0,1.65,0,0,0.89,16.46,0,0,5.45,0,3,1.32,3.9,3.56,0,0,0.58,0,0,0,0.64,0,19.63,0.8
108-118,0,0.65,0,0.45,0,0,1.15,10.69,0,0,10.51,0,1.08,0,1.06,4.59,0,0,1.25,0,0,0,0,0,14.58,0
120,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,18.36,10.46,0,0,0,0,0,0,0,1.56,16.63,0
