stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,hatching_gland,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord
  3-4,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.47,0,0,0,0,0,0,0,0,8.9,0,11.61,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.67,0,0,0,0,0,32.36,0,9.33,0,0,0,0
 14-21,0,0,0,0,1.8,0,0,0,0,0,0,0,1.06,6.21,0,0,0,2.86,1.83,0.96
 24-34,0,0,0.74,0,1.76,0,0,0,0,0,0,0,0,4.67,1.47,0,1.15,0,0,1.95
 36-46,0,0,1.16,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,6.42
 48-58,0,0,0,0,1.44,0,0,0,0,0,1.22,0,0,4.17,0,0,0,0,0,0.97
 60-70,0,0,0,0,4.57,0,0.98,0,0,0,1.28,0.85,0,0.87,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.84,0,0,0,1.09,0,0,2.91,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,6.95,0,0,0,0,0,1.76,5.06,0,0,0.75,0,0,0
 96-106,0,0,0,0.6,0,0,0.61,0,0.84,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.66,0,0,0.64,0,0,0,0,9.81,0,0,0,0,0,0
120,0,0,1.81,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0
