stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,19.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.71,0,0,5.91,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.82,5.44,11.57,0,0,0,0,0.81,0,0,0,0,0,0,0,16.85,0,0,5.44,160.31,0,5.34,0,0,0.92,0,0,23.23,0,0,0,0,0
 24-34,0,0,0,2.42,0,60.62,0,1.44,0.69,12.76,0,0,0.67,0,0,0,0,0,75.14,0,0,3.95,307.69,1.36,14.26,0,0,0,0,0,44.89,0,0,12.62,0,0
 36-46,0,0,0,7.67,0,51.07,0,0,0,27.02,0,0,0.69,0,0,0,0,0,147.62,0,0,2.56,319.2,8.7,14.89,0,0,1.06,0,10.69,81.6,0,0.62,4.62,0,0
 48-58,0,0,0,19.6,0.4,115.18,0,0.41,4.11,60.81,0,0,3.37,0,0,10.36,0.39,0,258.43,0,0,0.46,279.89,8.68,10.87,0,0,0,0,0,77.1,0,0,9.31,0,3.37
 60-70,0,0,0,17.46,3.79,335.38,5.68,1.22,2.17,132.2,0.76,0,0,0,0,12.9,2.32,0.81,437.09,0,6,4.69,277.96,7.91,20.48,0,3.38,4.14,0,0.67,56.26,0,1.53,6.58,0,2.47
 72-82,0,0,0,16.21,0.69,604.97,0,4.83,5.7,259.53,1.04,0.77,2.53,0,0.74,17.7,5.41,0,592.03,0.92,4.95,16.06,425.07,9.91,31.75,0,3.42,0,2.57,0,31.02,0.76,10.03,10.96,10.43,24.01
 84-94,0,0,0,31.23,0,679.89,0,9.32,1.43,191.05,1.57,0,5.08,4.23,0,31.91,7.85,7.48,535.24,0,7.74,11.45,319.81,8.61,74.69,0,4.15,3.32,0,0,52.58,0,12.97,6.28,9.63,19.07
 96-106,1.12,0,0.95,37.56,1.43,740.55,1.98,2.73,10.57,212.1,3.82,0,13.21,5.73,0,23.66,5.19,0,519.86,2.55,3.84,6.23,302.29,14.08,45.39,0,8.06,6.67,0,0.77,18.65,0.83,11.5,5.96,8.42,2.4
108-118,0.5,0,0,34.12,4.3,532.4,0,12.72,1.99,240.13,1.51,0,7.72,0.66,1.8,49.05,5.56,7.97,528.14,0,10.66,13.16,376.56,4.43,68.51,0,8.82,3.66,0,1.15,9.6,1.02,6.65,5.88,15.15,18.49
120,0,0,0,20.01,0,607.96,0,3.7,0,338.81,0,0,7.05,0,4.81,12.63,7.77,5.66,406.1,0,0,9.72,691.74,6.72,78.19,0,20.02,2.81,1.02,0,20.16,6.92,16.47,12.62,0,8.24
