stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0
 10-12,4.98,0,0,0,0,0,0,0,0,0,46.34,0,0,3.75,0,0
 14-21,0,17.31,0,0,0,0,0,2.85,0,0,0,1.98,0,0,4.94,4.05
 24-34,0,6.49,0,0.68,0,0,0,11.83,0,3.82,5.06,0.63,2.15,0,179.28,1.8
 36-46,0,3.29,0,0,3.01,0,0.74,7.58,0,0.88,5.08,1.66,0.57,0,150.54,0
 48-58,0,0,0.41,2.28,1.56,0,0,7.01,0,0.38,6.4,1.03,0.48,0,82.36,1.45
 60-70,0,6.6,0,0,6.27,0,0,2.04,0,0.88,0,0,0,0,35.02,0
 72-82,0,1.97,0,1.93,0.55,0,0,2.53,0,2.3,0,0,0,0,9.87,0
 84-94,0,3.08,0,0,1.77,0,0,1.16,1.05,0,2.46,0,0,0,46.62,0
 96-106,0,2.29,0,0,0,3.65,0,2.1,0,0.95,0.81,0,0,0,4.36,0
108-118,0,13.37,0,0,3.31,2.42,0,4.07,0,0,0,0,0,0,6.73,0
120,0,3.29,0,0,3.98,0,0,2.61,0,0,0,0,0,0,1.95,0
