stage,erythrocytes,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,0
 14-21,2.33,0,28.85,0,2.09,0,0,0,0,21.21,0,4.31,0.81,55.51,2.76
 24-34,0,0.82,17.5,0,0.8,0,0,0,0,1.17,0,0,0,24.31,3.34
 36-46,0,0,0,0,0,0,0,0,0,1.26,0,0,0,8.56,0
 48-58,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0.46,0
 60-70,0,21.52,0,0,4.16,0.77,1.69,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.91,0,0,0,0,3.21,0.74,0,0,0.81,0
 84-94,0,7.93,1.87,0,1.21,0,0,0,0,4.34,0,0,0,0,0
 96-106,0,5.57,0,0,2.95,0,10.42,0,0.7,0,0,0,0,0,2.05
108-118,0,0,0,0,2.64,0,6.61,0,0,2.86,0,0,0,0,0
120,0,0,0,0,6.08,0,5.27,8.5,0,2.22,0,0,0,0,0
