stage,epidermis,eye,fast_muscle,glial,immune,melanocytes,mesenchyme,muscle,neural,notochord,periderm,spinal_cord,vascular_smooth_muscle
 14-21,0,0.93,0,0,0,0,0,0,0.81,0,0,0,0
 24-34,0,0,0,0,0,0,1.09,0,4.37,0.83,0,3.06,0
 36-46,0,1.11,0,0,0,0,0,0,10.43,0,0,0,0
 48-58,0,0,0,0.48,0,0,0.47,0,0.81,0,0.54,0,0
 60-70,0,1.95,0,0,0,1.56,0.83,0.71,5.98,0,0,3.72,0.94
 72-82,0,5.76,0,0,0,0,0.61,0,2.4,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.63,0,1.95,0,0
 96-106,0,3.75,0,1.7,0.85,0,0,0,0.59,0,1.56,0,0
108-118,0.47,1.86,0.45,0,0,0,0,0,2.64,0,7.2,0,0.88
120,0,0,0,0,1.47,0,2.02,0,1.31,1.17,3.17,0,0
