stage,epidermis,fin.epithelia,ionocyte,mucous,neural,periderm
 24-34,0,0,0,0,1.4,10.82
 36-46,0,0,0,0,0,11.14
 48-58,0,0,0,0,0.97,11.19
 60-70,0,0,0,0,0,13.51
 72-82,0.54,0,0,0,0,14.2
 84-94,0,0,0,0,0,39.88
 96-106,2.54,1.62,0,0,0,54.88
108-118,7.66,1.15,0,0.51,1.44,77.65
120,2.4,1.8,1.65,0,0,52.01
