stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,neural,paraxial_mesoderm
  3-4,0,110.54,0,0,0,0,0,0
  5-6,8.83,58.49,0,0,0,0,0,0
  7-9,0,0,4.61,0,0,0,0,7.2
 10-12,0,0,0,0,0,0,13.69,3.7
 24-34,0,0,0,0,0,0,3.23,0
 36-46,0,0,0,0,0,0,1.83,0
 48-58,0,0,0,0.45,0,0,0.45,0
 60-70,0,0,0,0,0,0.72,1.06,0
 84-94,0,0,0,0,0.91,0,0,0
 96-106,0,0,0,0,0,0,5.07,0
