stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,76.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.7,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,6.25,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,1.83,0,4.35,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,169.81,0,0,0,0,0,2.39,121.86,0,0,0,0
 24-34,0,0,1.76,0,0.65,0,14.69,0,0.69,0,2.29,0,0,0,0,0,0,0,9.2,0,0,6.51,1466.31,0,8.72,0,0.97,0.91,0,327.4,0,0,0,0
 36-46,0,0,0,0,1.26,0,63.15,0,0,0.57,34.52,0,0.68,0,0,0,0,0,16.87,1.78,0,7.78,3357.51,0,12.98,2.48,0,0,0,625.22,0,0.9,0,4.34
 48-58,0,0,0,0,6.38,0,206.11,0,0,0.69,73.65,0,0,0,0,10.22,0,1.98,15.54,0,2.99,7.57,2905.88,2.22,4.31,0,0,1.86,0,635.67,0,0,0,5.94
 60-70,0,0,11.11,0,0.56,0,414.62,0,0,0,119.61,0,0,0,0,0,0,0,14.27,0,0,0.72,2232.75,4.42,5.91,2.47,0,0,0,579.85,0,2.83,0.64,0
 72-82,0,0,0,0,2.37,1.34,384.6,0,0,0.85,90.12,1.15,0,0.59,0,0,0,0,12.14,0,0,0.87,1636.66,0,3.34,0.94,0,0,0,226.53,1.87,3.67,1.92,5.55
 84-94,0,0,0,0,4.92,0,339.12,2.15,0.71,0,111.27,0.82,0,0,0.69,14.01,1.05,0.83,19.62,0,4.81,3.72,1087.68,0,2.18,0,2.53,0,0,152.41,0,0.97,0,0
 96-106,0,0,0,0,11.32,0,260.55,0,0,0,91.54,0,0,0,0,0,1.2,0,15.86,0,0,0,707.97,0,8.94,6.94,0,0,0,119.25,0,0,0,0
108-118,0,0,0,0,16.91,0,187.72,0,0,0.93,91.91,0,0,0,0,0,0.94,0,29.22,0,1.79,0,756.47,0,5.31,0,0,0,0,39.18,0,0,0,0
120,0,0,0,0,6.79,0,196.54,0,0,0,150.86,0,0,0,0,0,0,5.29,0,0,0,6.08,1235.45,0,0,0,0,0,0,9.72,0,0,4.69,0
