stage,epidermis,exocrine.pancreas,eye,glial,ionocyte,liver,mesenchyme,neural,otic,pronephros,visceral.smooth.muscle
 14-21,3.21,0,0,0,0,0,0,0,0,0,0
 24-34,1.92,0,0,0,0,0.73,0,0,0,0,0
 36-46,4.25,0,0,0,0,0,0,0.87,0,0,0
 48-58,0.41,0,0.5,0,0,0,0,0,0.38,0,0
 60-70,0.68,0,2.84,0,0,0,0,0,4.59,0,0
 72-82,0,0,6.15,0,0,0,2.5,15.1,0.52,0,0
 84-94,2.09,0,0,1.35,0,0,0,4.03,0.83,0,1.25
 96-106,0,0,3.79,2.18,0,0,1.44,3.62,3.11,0,0
108-118,0,0.46,6.42,0,0.96,1.92,0,0.94,1.59,0.68,0
120,3.65,0,0,0,0,0,0,0,7.03,0,0
