stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.87,0,0,0,15.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.28,0.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,39.44,0,0,0.94,0,0,0,0,0.86,3.31,1.85,7.68,0,0,4.33,0,0
 24-34,0,0,6.28,0.66,1.41,0,0,0,0,1.68,0,1.02,2.63,0,0,1.14,0,0,9.76,0,0,3.03,71.84,0,1.9,25.39,0,0,6.46,0,0,0,0,31.65,0,0,6.49,0,0
 36-46,0,0,6.32,0,4.7,0,1.54,1.54,1.07,0,0,0,2.13,0.62,1.57,8.85,0,0.61,27.92,0,0.8,1.62,191.72,0,0.57,15.09,0,0,39.97,0.78,0,0.71,0,69.03,0,0,20.31,0,0
 48-58,0,0,6.88,0,35.32,0.86,1.62,2.54,1.09,0,0,0,1.91,0,0,4.66,0,1.69,24.72,0.56,0,3.88,337.24,0.66,1.69,35.49,0,0,14.86,0,0,0,0,55.23,0,0,16.37,0,0
 60-70,0,0,7.78,0,69.31,0,2.28,4.87,1.55,0,0,1.29,2.07,0,0,11.64,10.39,0,42.58,0,0,3.07,445.18,0.63,1.9,63.61,0,0,7.26,0,0,0,0,88.38,0,0,6.23,0,0
 72-82,0,0,4.54,0,99.11,0,2.83,11.35,14.47,2.42,0,0,3.8,0,0,37.99,0,0,45.09,0,2.75,1.4,680.75,0,2.32,95.25,0,1.03,15.64,0,0,0,0,126.21,0,1.19,11.52,0.52,4.83
 84-94,0,1.15,10.05,0,72.54,0,1.4,11.78,3.65,3.28,0.91,0,17.29,3.01,0,40.87,2.93,2.28,62.43,1.73,0,9.34,380.79,0,2.7,170.53,0,1.65,27.13,0,0,0,0,88.91,0,0,21.69,0,0
 96-106,0,0,19.6,0,82.64,0,1.23,12.99,16.75,10.6,0,0.88,8.95,3.29,0,57.05,10.05,0.71,39.48,0,0,1.1,489.97,0,1.26,171.7,0,1.51,16.29,0,0,0,0,70.33,1.14,0,4.62,1.57,1.92
108-118,0,0,19.85,0,58,0,0.95,5.38,20.37,5.16,0,0.61,17.57,0.9,1.97,34.97,0,0,35.15,2.83,3.77,3.72,457.55,0,0,147.65,0,0,10.09,0,0,0,0,55.8,0,0,14.48,3.86,4.52
120,0,0,12.88,1.69,126.41,0,4.26,1.67,30.62,0,0,0,1.47,0,1.17,38.57,0,0,88.25,0,19.72,0,1060.87,0,0,266.59,0,0,1.9,0,0,0,0,94.63,0,0,16.58,0,0
