stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3.69,52.48,129.13,0,15.25,0,0,0,20.92,8.11,0.81,3.69,0,0.81,1.37,0,2.66,5.6,281.94,0,0,294.62,263.22,21.76,2.84,13.39,13.2,0,45.89,0.91,74.37,12.2,0,162.04,179.14,0,0,48.51,0,0
 24-34,0,0,2.35,45.05,13.27,0,34.27,0.94,5.49,70.65,44.45,0.71,0,7.1,0.88,6.58,4.32,5.19,13.9,5.5,1225.7,2.05,0.69,494.27,611.4,1.38,2.39,34.08,0,0,87.22,0,0,2.64,2.6,65.06,189.7,0,0,166.24,0,0
 36-46,0,0,0,55.55,5.31,0,33.65,0.61,2.46,192.14,81.25,0.67,0,6.38,3.98,3.87,6.84,7.4,0,4.53,1426.56,0,1.92,188.22,567.56,7.25,5.2,14.65,0,0,201.71,0,4.16,12.79,6.64,0,162.85,0,0,147.73,0,20.82
 48-58,0.55,0,0,12.63,0,0,111.59,2.58,35.05,245.78,171.24,4.31,0,8.22,8.18,0.39,1.78,4.09,1.02,11.02,1283.48,0,8.08,165.69,409.96,0,4.85,30.62,0,0,89.83,0,0,0.53,3.57,0,197.96,0,1.26,124.13,0,19.19
 60-70,0,0,0,16.89,3.84,0,64.7,13.32,18.99,272.87,149.95,0,0,8.49,20.81,0,23.97,9.78,0,4,1638.55,3.26,21.19,129.3,198.77,0,0,27.68,0,0.82,71.49,0,0,0,1.91,0,109.43,0,7.91,144.47,0.98,15.27
 72-82,0,0.87,0,23.32,8.6,0,104.5,0.59,11.98,348.31,200.43,6.48,0.52,8.3,8.85,0.52,18.05,19.83,4.09,3.04,2116.23,4.67,21.05,131.85,167.51,0.77,0.79,61.9,0,8.36,65.13,0,0,2.57,0,0,39.65,5.32,10.78,188.76,12.81,11.99
 84-94,0,1.11,1.01,45.44,1.51,0,158.62,0.7,23.73,233.52,153.3,9.07,0,12.41,27.1,5.7,26.24,17.36,3.63,4.7,1940.58,1.82,22.11,136.84,161.22,1.41,0,52.82,0,3,132.14,0,0,7.6,1.43,0,45.51,3.58,7.66,172.2,13.85,22.19
 96-106,0,0,0,43.15,8.88,0.56,91.67,9.5,11.04,192.17,143.51,10.75,0,18.63,38.25,0.59,32.81,22.62,10,3.91,1773.58,6.21,23.56,90.84,202.46,0.79,10.75,43.7,0,11.75,88.72,0,0,0.69,0.6,0,45.81,8.13,7.17,222.31,7.07,8.17
108-118,0,0,0,37.15,5.1,0.5,104.86,2.14,10.64,251.35,177.67,10.34,0,7.9,48.1,2.43,41,18.18,3.64,2.97,2334.8,6.3,28.47,114.83,214.79,0,2.96,48,0,30.5,123.78,0,0,4.35,0,0,31.36,5.25,13.45,167.24,11.65,11.15
120,0,0,0,28.96,6.13,1.71,110.55,0,4.46,277.95,291.95,12.69,0,2.78,142.34,10.57,28.67,19.28,7.31,0,2383.05,2.93,22.63,170.39,290.77,0,0,94.29,0,21.55,89.23,0,0,8.04,1.32,0,27.44,13.19,11.59,317.79,80.9,9.75
