stage,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
 14-21,5.31,24,0,0.97,1.93,0.96,0,0,9.75,14.07,21.82,6.75,0,4.14,336.54,2.09,13.31,87.05,2.48,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0.6,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,9.96,0,0,0,0,0,0,0,1.07,0
 48-58,0,0,2.31,0,0,0,0,0,2.49,0,16.24,0,0,0,0,0,0,0,0.77,0
 60-70,0,0,14.68,0,0,0,0,0,0,0,27.41,0,0,0,0,0,0,0,1.04,0
 72-82,0,0,45.12,4.51,0,0,1.55,0,0,0,55.7,0,0,0,0,0,0,0,1.01,3.11
 84-94,0,0,23.68,8.5,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,3.22,0
 96-106,0,0,70,4.34,0,0,0,0,7.07,0,29.58,0,0.79,0,0,0,0,0,0,0
108-118,0,0,37.64,6.59,0,0,0,0.73,5.97,1.11,57.38,0,0,0,0,0,0,0,0,0
120,0,0,62.27,10.32,0,0,0,0,5.5,0,98.66,0,0,0,0,0,0,0,4.36,0
