stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0
 14-21,0,5.38,1.12,0,0,3.48,1.08,0,5.49,0,27.92,16.71,1.29,0,0,0,5.59,22.37,11.15,0,0
 24-34,0,9.47,0,0,1.24,3.51,0,0.63,45.05,0,42.34,23.13,0,2.08,0,0,0,5.9,4.78,0,0
 36-46,0,12.8,0,0,2.56,0,0,0,67.2,0,27.81,14.33,0,0,0,0,0,0,10.31,0,0
 48-58,0,0.38,1,0,0.57,0,0,0,74.59,0,10.55,14.98,0,0.7,0,13.22,0,0,2.93,0,0.5
 60-70,0,1.45,2.1,0,10.7,0,0,0,100.06,1.73,17.76,21.08,0,0,0,0,0,0,0,0,0
 72-82,0,0,12.94,1.08,2.27,0.5,0,0,122.73,8.55,9.29,15.09,0,0.83,0,1.9,0,0,0,2,0.6
 84-94,0,3.86,2.62,3.74,0,2.45,0,0,81.98,7.6,10.01,10.67,0,0,0,0,0,0,0,1.03,0
 96-106,0,3.18,3.64,0.63,5.69,0,0,0,41.76,0,1.99,0,0,0,0,0,0,0,0,0,0
108-118,0,7.77,1.26,0.5,0,0.84,0,0,63.09,0.69,2.58,0.45,0,0.83,0,0,0,0,0,0.89,4.17
120,0,0,0,0,0,0,0,0,68.77,0,0,11.09,0,0,0,0,0,0,0,0,0
