stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.56,253.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,226.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.88,0,0,39.12,0,0,0,0,3.79,0,0,0,0,0,0,96.82,4.43,0,0,44.33,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,41.87,0,0,0,0,9.05,0,0,0,0,0,0,107.48,0,0,0,34.31,0,0,4.75,0,0,0,0,0
 14-21,0,0,5.85,0,2.82,0,0,0,0,0,0,0,0,0,0,0.91,23.02,0,0,0,0,0,3.14,3.84,0.9,1.77,5.79,0,0
 24-34,0,0,3.77,0,1.95,0.66,0,0,0,0,0,0,0,0.79,0.62,0.85,40.87,0,0,0,0,0,0,0,0,0,4.48,1.16,0
 36-46,0,0,0,1.95,7.42,0,0,0,0,0,0,0,0,0.61,0.58,0.76,23.39,0,0,0,0,0,8.94,0,0,0,5.75,1.77,0
 48-58,0,0,0,0,8.64,0,0.98,4.02,0,0,0,0,0,0,2.52,0.49,14.04,0,0,0,0,0,2.89,0,0,0,4.29,0,0
 60-70,0,0,0,0.57,16.03,0,0,0.85,0,0,0,0,0,0,3.07,1.25,13.44,0,0,0,0,0,0,0,0,0,4.63,0,2.91
 72-82,0,0,0,0,17.82,0,0,1.24,0,0,0,0,0,0,5.63,0,26.43,0,1.44,0,0,0,3.9,0,0,0,16.4,0.9,0
 84-94,0,0,0,0.57,16.43,2.28,0,2.45,0,0,0,0,0.57,0,10.83,2.06,18.33,0.76,0,0,0,0,4.55,0,0,0,0,1.07,0
 96-106,0,0,0,0,12.23,0,0,0,0,0,2.49,0.65,0,0,4.37,0,27.07,0,0,0,0,0,4.05,0,0,0,0,2.33,0
108-118,0,0,0.58,0.59,9.02,0,0.77,5.07,4.74,0,0,0.59,1.21,0,10.17,0.56,30.63,0.6,0,0.48,0,1.08,4.22,0,1.36,0,0,0.43,0
120,0,0,4,0,11.12,0,0,13.7,1.24,0,1.85,0,0,0,52.28,6.18,29.19,0,0,0,0,0,2.19,0,0,0,6.18,19.4,0
