stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.39,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.83,0,0,0,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.57,0,0,0,32.48,0,4.52,0,0,3.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.5,6.04,0,0,0,0,0,0,25.58,0,0,0,0,0,79.44,0,0,203.8,29.4,23.07,1.19,1.88,0,0,0,0,6.3,2.28,0,36.56,4.58,0,0,0,0,0
 24-34,0,0,0.79,1.27,2.13,17.1,0,0.6,1.39,1.18,0,37.24,0,0,0,0,0,198.7,0,1.91,82.69,856.89,122.5,0,0,0,2.91,3.39,0,0,0,0,7.86,190.65,0,0,0,0,0
 36-46,0,0,0,3.33,3.68,17.68,1.07,0,7.14,4.78,0,41.92,0,0,0,0,0,538.03,0,90.5,114.35,1595.76,63.7,1.2,0,0,5.37,1.06,0,0,0,0,0,650.6,0,12.15,1.83,5.43,0
 48-58,0,0,0,1.3,0,34.75,0,9.38,9.44,13.51,0,25.67,0,0,0,0,0.5,753.65,0.6,264.45,79.8,622.89,51.74,0,3.51,0,11.84,0,0,0,0,1.43,0,454.82,0,59.3,0.52,10.63,2.31
 60-70,0,0,0,1.29,5.23,48.29,0.81,1.38,14.27,6.81,0,35.2,0,0,0,0,0,1106.4,0,466.03,118.99,229.52,17.7,18.67,3.26,0,163.35,5.61,0,0,0,0,0,45.28,0,311.74,0.84,222.69,6.9
 72-82,0,0,0,7.87,0,93.9,5.95,19.04,6.88,13.16,2.04,5.44,0,0,2.75,0,0,1435.99,0.77,1026.9,111.31,253.8,1.99,0,2.42,0,452.14,5.86,0,0,0,0,0,7.38,0,839.29,10.6,915.58,3.59
 84-94,0,0,0,15,2.27,180.05,11.45,0,8.16,11.5,0,5.74,9.13,0,0,3.63,4.51,1174.98,0,944.62,91.44,108.14,10.51,2.46,0.79,0,252.8,3.52,0,0,0,0,0,15.67,0,743.5,3.26,912.83,2.81
 96-106,0,0,0,16.45,2.99,130.04,12.75,2.88,7.57,19.85,2.41,4.23,10.27,2.77,0.96,30.14,14.09,1387.14,0,1107.75,125.13,285.48,3.18,0.84,10.04,0,719.05,1.16,1.35,0,0,0,0,3.15,2.03,815.09,4.67,1003.16,0
108-118,0,0,0,15.94,3.29,134.07,12.18,3.75,37.18,15.61,2.58,13.76,6.76,0,0,3.47,0,1358.42,0,1085.73,73.66,274.76,2.32,0,1.08,0,1031.96,1.36,0,0,0,0,0,3.29,0,594.39,2.52,910.65,0
120,0,0,0,18.03,12.64,38.26,0,0,4.21,11.32,1.09,2.18,7.73,0,2.64,19.61,0,1004.32,0,1396.57,220.79,233.12,0,10.22,0,10.96,838.36,0,0,0,0,0,0,1.64,0,691.72,0,920.92,0
