stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.83,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.62,0,0,0,12.43,0,0,0,12.79,0,0,0,0,0,0,0
 14-21,0,0.88,13.62,2.35,1.69,0,2.32,0,0,0,0,0,0.81,0,0,8.05,0,1.75,43.12,0.83,0,0.88,1.07,0,0,4.8,0,0,1.65,40.78,0,2.47,0,0
 24-34,0,0,6.17,0,5.05,0,0,0.68,0,0,0,0,0,0,0,7.64,0,2.49,164.17,1.79,0,5.96,0,0,8.75,0,3.39,5.15,1.35,25.25,0,0.82,0,0
 36-46,0,0,2.67,0,20.19,0,0,0,11.34,0.59,0.9,0.63,0,0,0,39.05,0,3.91,519.29,0,0,3.45,0,0,9.84,0,5.47,0,2.04,13.15,0,2.15,0,2.1
 48-58,0,0,1.03,0,28.06,0,6.29,0.7,47.48,0,0,0,0,0,0,62.39,0,10.53,1092.62,0,0,8.52,0,0,10.39,0,2.73,0.45,0,46.75,0,2.63,0,1.31
 60-70,0,0,16.72,0.68,58.09,0,0,0.83,54.42,0,0.66,0,0,0,6.38,62.62,0,4.83,1481.87,3.13,0,18.84,0,0,0,0,0,0,0,107.37,2.34,2.06,0.8,0
 72-82,0,0,2.99,1.28,90.53,0,0,15.19,61.33,4.76,1.27,0.69,0.55,0,0,69.07,0,2.38,1344.97,0,0.67,12.95,0,0,0,0,0,0,0,75.26,0.5,5.19,0,0
 84-94,0,0,9.39,1.66,85.9,1.17,0.6,1.9,50.36,0.58,1.46,0.55,0,0,2.28,73.25,2.99,2.96,681.34,0,0,17.43,0,0.6,3.73,0,0,0,0,23.57,1.24,0,1.93,0
 96-106,0,1.03,1.86,9.31,69.49,0,0,0,45.04,0.62,0,0,0,0,0,68.78,0.7,0.78,875.5,0.62,0.74,30.42,0,5.34,0,0,0.67,0,0,7.15,1.75,3.74,0.81,0
108-118,0,0,6.91,0,98.2,0,2,3.29,42.75,0.46,0,0.9,0.55,4.05,0,39.53,0,4.68,721.69,0,0,19.33,0,0,1.06,0,0,0,0,23.24,0,0.57,6.71,3.39
120,0,0,1.09,0,47.22,0,0,0,32.1,2.43,0,3.07,1.07,0,0,43.25,0,3.79,1007.89,0,0,25.85,0,0,0,0,0,0,0,16.74,9.27,13.77,0,0
