stage,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,spinal_cord
 14-21,0.83,2.66,0,0,0,1.08,1.15,0,0.96,0
 24-34,0,0,0,0,0,1.06,1.96,0,0,0
 36-46,0,0,0,0.79,1.1,0,1.86,0,0,0.66
 48-58,0,0,0,0,0.52,0,0.4,0.64,0,0
 60-70,0,0,0,0,0,0,0.64,0,0,0
 72-82,0,0,0,0,1.63,0,1.81,0,0,0
108-118,0,0,0.58,1.34,0,0,0,0,0,0.7
120,0,0,0,0,5.3,0,4.29,0,0,0
