stage,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,otic,pronephros
 24-34,0,0,0,0,0,0,0,0,0.65
 60-70,0.76,0,0,0.63,0,0,7.51,0,0
 72-82,2.82,0,0,0,0.83,0,1.3,1.06,0
 84-94,2.88,0,0,0,14.16,1.59,0,0,0
 96-106,10.89,0.63,0,0,0,0,0,0,0
108-118,11.34,0,1.83,0,0,0,0,0,0
120,9.66,0,0,0,0,0,0,0,0
