stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,136.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0
  5-6,6.79,283.53,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,13.98,0,0,0,0,6.81,0,0,0,0,0,0,0
  7-9,18.74,7.46,0,11.59,0,0,4.72,0,0,0,0,3.85,0,0,0,0,0,0,322.68,6.25,0,0,91.05,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,19.61,0,0,0,0,3.26,0,0,0,0,0,0,112.96,4.73,0,0,21.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,6.56,0,3.64,0,0,3.41,1,0,0,0,0,7.85,0,3.26,86.81,0,0,2.53,0.96,7.23,13.89,0,0,5.82,32.9,2.52,0
 24-34,0,0,0,1.36,1.97,3.24,6.89,0,0,1.27,0,0,0.61,0,0,6.42,0,5.03,73.45,0,0,0,0,0.93,0,1.77,0,0,19.43,3.05,0
 36-46,0,0,0,0,14.02,0,4.6,0,0,0,0,0,0,0,0,3.63,0,4.23,33.24,0,1.02,0,0,5.35,0,0,0.59,0,7.05,0,0
 48-58,0,0,0,0,2.71,0,9.9,0.55,0,6.07,0,0,0,0,0,3.76,0,0.51,30.2,0,0.77,0,0,0.72,0,0,0,0,4.67,0,0
 60-70,0,0,0,0,0,0,9.34,0,0,2.96,0,0,0.61,0,0,3.34,0,1.18,38.33,0,0,7.86,0,2.32,0,0,0,0,5.27,0,0
 72-82,0,0,1.15,0,0,0,11.43,2.21,0,5.08,0,0,0,0,0,10.22,0,0,26.19,0,0,1.77,0,0,0,0,0,0,5.72,0,0.61
 84-94,0,0,1.18,0,0.69,0,15.8,0,0,3.28,0,0,2.06,0,0.66,1.3,1.87,0,8.67,0,0,0,0,0,0,0,0,0,0,0.96,0
 96-106,0,0,0,0,0.63,0,11.36,2.18,0,5.47,0,0,0,0,0,0,0,0,2.39,0,0,5.23,0,0,0,0,0,0,0,6.76,0
108-118,0,0,0,0,0.88,0,0.67,0,0.78,3.78,0,0,0,2.16,0,3.98,0,0,22.14,0,0,0,0,1.83,0,0,0,0,4.05,0,0
120,0,0,0,0,4.27,0,12.7,2.63,0,1.16,0,0,0,3.86,0,13.62,0,1.59,16.23,0,0,2.09,0,0,0,0,0,0,0,0,0
