stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.9,0,0,0,0,0,0,0,0,0,0,8.19,0,0,0,18.48,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,41.99,0,0,0,15.75,0,0,0,0,0,0,0
 14-21,0,1.89,0,2.08,0,0,1.47,0,0,0,1.94,0,0.84,9.48,0.87,0,0,0,0,1.09,14.32,0,0,0,0
 24-34,0,0,0,3.94,0,2.14,0,0,0,0,0,0,0,84.19,0,0,0,0,0,0,22.69,0,0,0,0
 36-46,0,0,0,0,0,2.52,0,0,0,0,0,0,1.11,173.13,0,1.34,0,0,0,0,39.51,0,0,0,0
 48-58,0,0,0,12.14,0,5.86,2.55,0,0,0,0,0,0,225.86,0,2.76,2.85,0,0,0,44.12,0.91,0,0,0.63
 60-70,0,0,0,0,0,26.88,2.33,0,0,0,2.69,0,1.1,352.93,0,1.29,0,0,0,0,51.15,0,0.85,0,0
 72-82,0,0,0,1.76,0,73.04,9.37,0,0,0,9.49,0.93,0.49,338.48,0,0.54,0,0,0,0,37.95,0,0,0,7.46
 84-94,0,0,0,2.48,0,62.12,6.21,2.41,1.03,0,0.97,0,2.08,222.8,0,0,1.52,0,1.37,0,16.68,0,0,0.78,0
 96-106,0,0,0,1.41,0,21.25,2.76,0,0,9.08,2.46,0,0,189.99,0,0,1,0,3.94,0,8.58,0,0,0.69,0
108-118,0,0.41,0,0.96,1.32,18.53,4.34,0,0,0,5.1,0,0,220.32,0,0,0,0,1.55,0,9.71,0,0.56,0,0
120,0,0,0,0,0,29.28,25.83,0,0,0,0,0,0,449.85,0,0,0,0,0,0,1.95,0,0,0,0
