stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,30.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.83,0,0,0,9.55,0,0,0,0,0,0
 14-21,0,0,0,1.32,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,4.5,0,0,0,0,0.77,0,9.52,0.65,2.22,0,0,0,0.83,0,0,0,0
 36-46,0,0,0,0,4.86,0,0,0,0,0,0,22.79,0,1.1,0,0,0,2.01,0,0,0,0
 48-58,0,0,0,0,11.18,0.95,0,0,0,0.67,0.4,58.68,0,0,0,0,0,4.8,0,0,0,0
 60-70,0,0,0.71,0,27.36,0,0,0,0,19.31,0,97.86,0,0,0,0,0,3.82,0,0,0.76,0
 72-82,0,0,1.66,0,72.01,4.31,0,0,0,4.27,0,130.55,0,1.19,0,0,0,11.49,0,0,1.48,7.8
 84-94,0,0,0.7,0,72.6,0.79,0,4.55,0,0,0,97.36,0,0,0,0,0,2.97,0,0,2.16,0
 96-106,0,0.61,0,0,32.49,6.81,0,0.6,0.68,2.48,0,94.96,0,0,0,0,0,4.74,0,1.2,0,0
108-118,0,0,3.34,0,69.75,0.97,0,7.19,2.8,0.93,0,149.23,0,0,1.12,0,0,6.7,0.89,0,0,0
120,0,3.52,5.94,0,108.8,2.8,5.3,2.6,1.79,7.76,0,227.36,0,3.57,0,0,4.49,14.12,0,0,9.78,0
