stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.89,140.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.48,263.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.25,0,0,5.94,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.45,0,0,35.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.78,0,4.89,0,0,0,0,0,28.35,0,0,0,0,0,0,0,0,0,186.22,0,0,34.58,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,31.89,24.51,3.99,0,0,0,0,0,1.07,48.28,0,0,0,0,0.86,0.83,2.64,15.01,0,0,0,0,1.33,0,0,2.81,0.98,0,0,2.65,0,0
 24-34,0,0,0,0,62.4,3.55,0.68,17.21,0,0,0,0,1.94,59.29,0,0,0,0,2.56,0,0.61,22.79,1.7,1.63,0,0,0,0,0,0,2.72,0,0,43.82,0,0
 36-46,0,0,0,0,82.31,0,0,24.15,0.73,0,0,0,0,111.84,0,0,0,0,1.69,0,0,22.34,0,0,0,0,0,0,0,0,2.01,0,0,35.89,0,0
 48-58,0,0,0,0.43,36.33,1.38,3.3,19.22,0,4.86,0,0,0,158.27,0,0,0,0,3.56,0.37,0,17.15,1.3,0,0,0,0,0,0,0,3.14,0,0,71.3,0,0
 60-70,0,0,0,0,58.73,2.09,0.84,34.39,0,5.94,0,0,0,158.42,0.71,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,53.42,0,5.27
 72-82,0,0,0,0,50.69,11.75,13.46,14.06,0,8.74,0,0,0,156.49,0.49,0,0,3.49,6.65,0.73,2.2,16.85,0,0,0,0,0,0,0,0,2.8,0,1.05,123.12,0,2.33
 84-94,0,0,0,0,131.95,7.17,10.04,31.4,0,8.47,0,0,0,271.22,0,0,0,0,8.47,2.14,0,7.43,0,0,0,0,0,0,0,0,3.86,0,0.62,138,0,0
 96-106,0,0,0.81,0,89.29,11.75,12.48,22.39,0,14.07,0,0,0,269.48,0,0,0,1.25,9.98,0,0.67,25.58,1.45,1.78,0,0.64,0,1.2,0,0,1.67,0.73,1.57,159.03,0,0
108-118,0,0,0,0,124.37,8.28,5.53,40.01,0,6.47,0.47,0,0,309.75,0.45,0.44,0,0,7.06,0,0,22.82,0.51,0,0,0.98,0,0,0,0,1.1,0.52,2.75,113.4,0,0
120,0,0,0,0,105.68,1.6,4.55,15.8,0,19.79,4.64,0,3.96,307,1.17,0,4.01,0,16.32,1.16,0,20.79,0,0,0,6.71,0,0,2.33,0,0,1.28,0,170.29,1.8,0
