stage,epidermis,eye,fin.epithelia,glial,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.54,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0.86,0,1.87,0.82,0,0,0,1,5.38,1.03,0
 24-34,0.67,0,0,0,0,0,0,0,0,0,11.64,0,1.86,0,0,0,0.71,0
 36-46,0,0,0,0,0,0,0,0,0,0,26.39,0,0.72,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.39,0.39,0,0.38,31.8,3.13,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.8,0,0,0,28.8,0,0,0,0,0,0,0
 72-82,0,0,0,2.63,0,0.53,3.2,2.07,1.4,0.67,37.96,0.51,0,0,1.88,0,0,3.52
 84-94,0,1.93,0,0,3.69,0,22.47,1.64,0.84,0,15.43,0,0,0,0,0,0,0
 96-106,0.68,2.71,0.91,1.77,0,0,18.38,2.35,1.69,0,19.15,0,3.63,0,0,0,0,3.93
108-118,0,0,0,0,0,0,41.16,3.23,2.23,0,30.04,0,0.52,0,12.19,0,0,0.77
120,0,0,0,9.67,0,0,36.88,0,0,0,36.17,0,0,0,0,0,0,0
