stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,44.54,157.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.96,65.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0,0,0
  7-9,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.84,0,7.6,0,0,0,0,0,0,0,0
 10-12,0,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,16.45,0,55.57,0,0,5.05,0,0,0,0,0
 14-21,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,2.89,7.93,0,0,0,27.92,0,11.91,48.88,3.12,0,0
 24-34,0,0,0,2.72,0,0,0,0,0,0,0,0,0.8,0.61,7.49,2.26,1.77,0,0,0,0,1.22,7.28,0,0,0
 36-46,0,0,0,3.9,0,2.78,0,0,0,0,0,0,4.7,0,0,2.5,0,0,0,0,2.6,0,0,0,0,0
 48-58,0,0,0,1.25,0.84,0,0.38,0.66,0,0,0,0,0,0,0.64,5.78,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,14.6,1.28,0,2.7,0,0,0,0,0,6,0,0,1.18,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.61,3.47,0,0.92,0.75,0,0,0,0,3.63,1.62,1.47,5.74,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,14.53,0.58,0,0,0,0,1.22,0,1.49,3.3,0.89,1.77,8.3,0,0,0.75,0,5.56,0,0,0,0,0
 96-106,0,0,0,7.04,12.23,0,0.62,0,2.63,0,2.91,0,1.38,0,0,8.71,0,0,2.95,0,3.03,0,0,0,0,1.67
108-118,0,0,0,6.94,0,0,0.9,0,3.81,0,0,0,4.3,3.77,2.65,0.58,0,0,1.54,0,0.89,0,0,0,0.52,0
120,0,0,0,8.35,3.78,0,0,0,12.55,0,2.01,4.16,0,1.16,0,1.36,0,0,0,0,0,0,0,0,0,0
