stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.09,273.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,64.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,13.13,0,0,0,0,0,0,0
  7-9,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,4.95,0,0,0,0,0,0,0,0,0
 10-12,0,74.01,0,154.19,0,4.44,7.99,0,0,0,0,76.11,0,0,0,0,0,0,0,0,0,1000.49,9.24,0,0,45.58,0,8.84,44.34,0,10.41,0,0,0,0
 14-21,0,0,9.19,145.91,354.29,124.89,70.69,10.57,0,60.32,126.07,0,6.58,0,0,0,0,137.27,0,0,43.94,257.74,6.26,0,2.76,8.21,0,5.47,8.92,4.13,447.32,0,37.99,0,0
 24-34,0.88,0,12.09,37.21,73.86,17.94,133.73,32.75,3.1,103.46,27.77,0,9.22,3.16,0,0,3.58,154.27,2.2,0.69,35.37,237.34,0,0.65,2.68,0,0,2.53,2.48,3.07,312.52,0,165.77,0,0
 36-46,25.37,0,11.79,3.59,22.68,1.04,47.78,35.81,16.64,65.44,2.78,0,8.6,0,0,1.55,1.07,189.35,0,11.01,32,167.47,0,0,16.34,0,0,0,0,0,172.18,3.97,59.27,0,0
 48-58,0,0,4.42,0,4.2,0,62.44,14.48,11.57,24.73,0.56,0,8.03,0,0,0,0,177.18,0,12.25,9.86,143.5,0,0,15.5,0,7.8,1.62,0,0,32.84,0.85,25.28,0,0
 60-70,0,0,2.53,0,8.04,0,30.34,21.93,28.49,4.59,0,0,3.02,0,3.16,0,0,250.74,0,6.52,10.54,34.81,0,0,11.7,0,1.23,0,0,0,12.23,7.51,33.54,0,0
 72-82,0,0,5.53,0.56,1.31,6.97,59.18,3.61,33.59,12.94,4.52,0.5,0,0,0,0,0,428.54,0,15.44,7.91,47.23,0,0,20.19,0,2.8,0,0,0,17.97,6.21,35.82,8.74,0
 84-94,0,0,6.69,0,1.8,0,40.75,4.41,11.89,6.36,6.58,0,2.1,1.15,0,0,1.14,362.15,0,30.33,13.58,49.49,0,0,45.91,0,5.86,1.01,0,0,21.18,7.96,45.7,6.01,0
 96-106,0,0,2.41,0,4.63,0.64,38.19,7.29,19.05,30.74,7.67,0,0,0.78,0,2.44,0,354.02,0,13.35,15.01,28.2,0,0,23.48,0,0,1.71,0,0,5.59,11.98,20.41,3.37,0.58
108-118,0,0,2.42,1.29,0.57,0,33.7,5.69,10.47,21.64,3.39,0,0,0.59,0,0.83,0,479.98,0,12.6,6.05,25.73,0,0,39.35,0,9.89,0,0,0,6.26,13.07,21.61,21.3,0
120,0,0,1.37,0,4.93,0,33.03,1.31,29.77,2.7,4.7,0,0,0,0,1.69,0,405.86,0,26.78,15.33,85.24,0,0,41.95,0,11.36,0,0,0,0,0,6.32,0,0
