stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,114.2,2454.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.11,0,0,0,0,0,0,0,0,0
  5-6,68.02,891.3,0,0,0,0,0,0,0,0,0,0,110.23,0,0,0,0,0,0,0,0,0,0,56.98,0,0,0,0,17.03,0,0,0,0,0,0,0,0,0
  7-9,38.52,0,0,0,0,0,0,0,0,0,0,0,1553.33,0,0,0,0,0,0,0,0,0,0,211.37,24.44,0,0,122.38,9.55,21.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.29,0,0,0,11.82,0,0,0,0,921.12,0,0,0,0,0,0,0,0,0,0,254.17,32.37,0,0,98.82,15.74,6.41,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,13.68,48.77,5.8,0,0.89,0,0,0,26.44,175.25,0,1.63,7.22,0,0,0,1.05,3.02,2.91,2.28,10.42,25.45,5.23,0,3.73,1.11,0,3.02,9.27,1.41,2.1,0,0,2.45,0
 24-34,0,0,0,3.95,5,1.66,0,1.96,0.63,0,0,5.24,49.99,0,5.92,12.53,0,0,1.34,0,2.06,24.18,1.25,16.74,3.17,2.65,0,0,4.06,0,0,3.59,0,2.99,0,0,0,0
 36-46,0,0,0,0,6.57,0,0,1.17,2.2,0,0,6.15,5.26,0.72,3.73,3.49,0,1.36,10.62,0,3.26,11.54,0.84,10.87,0,0,0,0,0,0,0,0.58,0,1.12,0,0,0,0
 48-58,0,0,0,0.91,3.18,0,0,0.61,1.15,0,0,4.62,3.87,0,8.29,0.51,0,0,0,0,2.03,9.68,0.48,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.79,16.25,0,0,1.87,3.33,0,0,5.69,0,0,10.41,0,0,0,12.12,0,0,8.24,0,9.41,0,0,0,0,1.52,0,0,4.43,0,0,0.61,0,4.72,0
 72-82,0,0,3.32,0,28.54,0,0,12.73,2.5,0,1.89,18.46,0,0,8.04,1.11,1.38,0,0,0,5.63,31.86,0,5.62,0,0,0,0,0.75,0,0,0,0,0,5.23,0.56,0.64,2.17
 84-94,0.62,0,0.66,0,39.74,0,1.09,2.44,6.53,0,0.92,44.82,5.07,0,13.37,2.64,0,0,0,0,2.7,36.81,0,10.23,1.54,0.87,0,0,1.32,0,0,1.54,0,0,12.52,0,0,0
 96-106,0,0,3.42,0.64,89.53,0.68,0,6.72,13.14,1.28,0,56.28,0,0,25.71,1.44,0,0,0,0,15.93,38,0,18.45,0.66,3.04,0.98,0,0,0,0,3.23,0,0,24.6,0,2.55,0
108-118,0,0,2.54,0,115.54,0,0.61,1.39,32.68,0.92,0,66.88,0,0,26.73,2.68,0.55,0,0,0,8.5,47.27,0,17.32,0,0.49,0,0,3.71,0,0,2.2,0,0,29.67,0,2.41,0
120,0,0,2.52,0,93.43,1.11,0,0,13.33,0,0,46.54,0,0,22.95,1.07,0,0,0,0,15.23,7.31,0,22.07,0,3.69,3.63,0,0,0,0,5.78,0,0,34.33,0,0,0
