stage,blastomeres,endoderm,epidermis,eye,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,20.03,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.16,0,0,0,0,9.44,0,3.6,0,0
 10-12,0,0,0,0,0,0,41.6,0,8.49,0,0
 14-21,0,1.03,0,0,0,0,5.06,0,0,0,0
 24-34,0,0,0,1.15,0,0,4.74,0,0,0,0
 36-46,0,0,0,0.79,0,0.56,6.93,0.66,0,0,1.41
 48-58,0,0,0,0,0,0,2.81,0,0,0,0
 60-70,0,0,0,7.85,0,0,1.26,0,0,0,0
 84-94,0,0,0,0,1.24,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.82,0,0.59,0
108-118,0,0,0.69,0,0,0,1.76,0,0,0,0
