stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0,0,0
 24-34,1.22,0,1.64,1.38,3.15,0,0,0,0,0,0.6,0,0.83,0,0,7.92,6.15,0,0,0,0,0,0.98,25.65,1,0,0,0,0,0
 36-46,1.35,0,1.69,34.09,9.67,0,5.26,0,0,0,0,0,0.64,0,0,6.91,40.05,0,0,0,2.97,0,0,71.42,0,5.57,0,0,0,0
 48-58,3.09,0,20.43,26.02,1.3,6.67,1.73,0,0,0.4,0,3.73,4.38,0.5,0,9.43,43.68,1.09,0,4.77,0.97,0,0,65.34,0,4.17,0,0.41,0,0
 60-70,12.01,0,9.39,34.49,6.89,0,1.41,0,0,0,0,0,3.83,0,0,6.82,10.87,0,0,0.81,0,0,0,39.78,0,4.09,0,0,0,0
 72-82,11.31,0.71,12.81,17.42,3.65,0,2.3,0,0,0,0,0,0.84,0,0,9.48,25.27,0,0.84,0,0,0,0,9.89,0,0,0.51,0,0.65,0
 84-94,5.24,1.28,1.63,9.21,8.39,0,0,3.45,0,0,0,0,3.21,0,0,9.61,15.41,0,0,0,0.93,0,0,30.02,0,0,0,1.08,0,4.27
 96-106,4.87,4.14,0,16.54,7.26,0,0,0,0,0,0,0,0,0,0.75,0,15.87,0,2.36,0,0.68,0,0,32.43,0,0,0,0,1.12,0
108-118,2.08,0,1.62,16.3,10.71,0,0,0,0.89,0,0,0,4.16,0,0,0.84,25.44,0,0,0,0,0,0,31.42,0,0,0,0,0,0
120,10.39,0,0,19.42,10.69,0,0,0,0,0,0,0,13.85,0,0,6.32,17.05,0,0,0,0,2.24,0,15.92,0,0,0,0,0,0
