stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,xanthophores
  3-4,0,116.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.97,140.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0
  7-9,0,0,8.91,0,12.08,0,0,0,0,0,0,0,0,0,123.62,0,0,40.59,0,0,0,0,0,0
 10-12,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,69.48,0,0,12.3,0,0,0,0,0,0
 14-21,0,0,0,1.92,1.13,0,0,0,0,0,0,0,0,0,11.94,0,0,0,2.59,1.17,0.9,0,0,0
 24-34,0,0,0,0,3.46,0,0,0,0,0,0,0.69,0.61,0,16.46,0,1.32,0,0,0,1.17,0,1.77,0
 36-46,0,0,0,1.14,4.01,0.9,0,0,0,0,0,1.62,0,0.7,43.25,0,1.14,0,0,0,0.69,0,0,0
 48-58,0,0,0,0.52,8.29,1.59,0,0.44,0,0,0,5.42,0.82,0,18.77,0,0,0,0,0,2.57,0,0,4.99
 60-70,0,0,0,0,4.48,0.69,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,1.5
 72-82,0,0,0,0.59,13.91,0.82,0,0,0,0,0,1.13,0,0,5.57,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.85,4.54,1.14,0,0,0,0,0,2.25,0,0,0.62,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.19,1.37,0,0.57,0,0.6,0.74,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0
108-118,0,0,0,2.16,1.36,2.6,0,0,0.61,0,1.77,1.4,0,0,15.17,0,0,0,0,0,0,0.68,0,0
120,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,21.75,0,0,0,0,0,0,2.31,1.32,0
