stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.76,841.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.65,877.15,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.01,0,0,12.15,17.76,0,0,0,0,0,0,0,0
  7-9,8.43,3.31,0,15.43,0,0,0,6.66,0,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,180.28,0,0,50.48,0,5.11,0,0,0,0,0,0,0
 10-12,3.8,0,0,0,0,24.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.07,0,0,27.77,0,0,44.64,0,0,0,0,0,0
 14-21,0,0,0,0,0,252.21,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,40.39,0,0,0,5.81,0,0,3.82,9.87,0,127.94,0,0
 24-34,0,0,0,0.71,4.27,47.69,0,0.87,0,0,0,0,0,0,16.85,0,4.19,0,6.69,0,0.81,0,0,0,219.91,0,0.69,0,16.58,0,0,0,36.82,0,692.9,0,0
 36-46,0,0,0,0,0,5.46,0,11.86,0,0,0,19.52,1.84,0,10.14,0,0.61,1.61,0,0,1.36,0,0,0,269.61,0,0,0,46.69,0,0,0,46.18,0,577.16,0,0
 48-58,0,0,0,0,0,0,0,12.65,0,0.75,0,45.46,0,2.36,18.7,0,0,0,0.99,0,11.55,0,0,0,325.87,0,0.42,0,20.09,0,0,0,33.13,0,456.25,0,0.79
 60-70,0,0,0,0,5.66,0,0,18.04,0.97,1.61,0,38.5,0,0.63,19.42,2.8,2.86,0,0,0,5.48,0,0,0,343.47,3.41,0,0,37.4,0,4.15,0,67.43,0,365.13,0.85,0
 72-82,0,0,0.69,0.75,0.8,1.74,0,27.21,0,0,0.6,15.17,1.1,2.07,31.13,0,1.39,0.63,0,0,9.17,0.56,0,0,292.56,6.15,0,0,2.49,0,0,0,12.41,1.75,797.05,0.71,2.33
 84-94,0,0,0,0,3.18,0,0,28.26,0,0,0,10.92,0.94,0.71,25.9,0,2.06,0,0,0,2.18,0.7,1.24,2.75,174.57,0,0.88,0,4.51,0,0,0,7.07,0,750.09,0,0
 96-106,0,0,0,0,3.04,5.5,0,65.69,0,0,1.02,9.84,1.38,0,22.82,0.86,7.98,0,0,7.1,22.76,0,0.67,0,120.52,0,0.57,0,3.76,0,2.83,0,8.91,0,836.69,4.63,0
108-118,0,0,0,0,2.84,3.85,0,41.87,0,0,0,7.76,0,0,34.62,0.86,7.09,0,3.62,0,15.51,0,1.89,0,132.61,1.5,0,0,12.31,0,5.05,0,7.32,0,807.97,12.07,0
120,0,0,0,0,0,16.92,5.97,72.41,0,0,0,24.68,4.66,5.2,48.1,1.38,1.63,0,4,0,17.2,12.35,0,1.32,202.35,0,0,0,2.81,0,0,0,20.15,0,1166.29,37.42,0
