stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,muscle,neural,olfactory,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,28.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.29,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.69,0,0,0,0,0,0,0,0,0.77,21.67,0,1.47,4.07,1.37,0
 36-46,0,0,0,4.24,0,0,0,0,0,0,1.37,0,83.72,0,0,4.99,0.91,0
 48-58,0,0.41,0,2.05,0,1.3,0.87,0,7.07,0,2.67,0.68,99.22,0.6,0,13.6,1.85,0
 60-70,0,0,0,1.6,0,1.03,0,0,0,0,3.86,0,47.09,0.84,0,15.37,3.42,0
 72-82,0,0,0.68,13.57,0,2.08,0,0,0,0,1.67,0,58.72,0,0,11.3,0,0
 84-94,0,0,6,11.05,0,0.57,0,0,2.46,0,2.13,0,57.28,0,0,5.4,0.84,0
 96-106,0,0,0,3.33,0,0,0.91,0.68,2.84,0.63,6.14,1.48,9.45,0,0,0,0,0
108-118,0,0,0,10.53,1.29,8.19,1.32,0,3.38,0,2.29,0,20.33,0,0,0,3.67,0.62
120,0,0,0,7.23,0,0,0,0,0,0,0,0,19.16,0,0,0,0,0
