stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.66,0,13.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.25,0,0,1.65,0,0,0,0,0,0,10.42,0,0,0,0,0,0,0,14.69,0,0,0
 24-34,0,0,0,0,0,6.99,0,0.8,0,0,0,0,0.62,1.94,0,0,2.54,0,0.74,176.03,0.97,0,0,0,0,0,1.38,269.67,0,0.98,0
 36-46,0,0,0,0,0,18.49,0,0,0.57,0,0,0,0,0,0,0,0,0,0,354.06,0,2.5,0,0.74,0,0,0,309.52,0,0,0
 48-58,0,0,0,3.32,0,90.48,0,0,0.73,1.26,0,0,0,0,0,0,2.71,0.46,0.46,416.27,0,1,0,6.03,0.62,0,0,187.93,0,2.26,5.57
 60-70,0,0,0,0.68,0,705.91,0,0,0,12.46,0,0,0,0,0,0,7.37,0,0,1175.67,0,0,0,4.08,0,0,0,101.78,0,0,0
 72-82,0,2.19,0,8.97,4.44,1777.83,0,0,2.61,30.43,4.46,0,0,0,0,0.49,37.31,0,0.68,1759.32,0,1.07,2.3,0,1,8.92,0,97.18,0,0,3.01
 84-94,0,2.22,0,9.93,7.56,960.54,0,0,0,31.46,0,0.7,0,0.98,0,0,22.44,0,1.08,1235.13,0,0,0,2.51,0,0,0,54.73,0,0,0.64
 96-106,0,0,0,5.97,1.37,666.03,2.75,0,2.32,16.94,0,0,0,0,0.76,0,18.7,0,2.18,1178.12,0,0,0,8.31,0,0,0,32.73,0,0,0
108-118,0,3.47,0,7.63,1.34,637.35,0,0,2.29,38.28,0.58,0,0,0,0,7.11,20.09,0,0,1586.9,0,1.84,0,0,0,0,0,17.85,4.31,2.71,0
120,0,7.62,0,11.1,1.34,787.61,0,1.33,0,53.8,0,0,0,0,18.25,0,26.19,9.54,1.12,2737.79,0,0,3.98,0,0,0,0,28.06,1.37,0,0
