stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.76,0.83,0,0,0,0,0,0,0,0,1.16,0,0,0,0.82,0,0,0,1.36,0,0,0,0,0,0
 24-34,0.81,0,0.61,0,0,0,0,0,0,0,3.77,0,4.24,0.74,0.6,0,0,0,0,1.43,0,0,1.57,0,0
 36-46,0,0,12.64,0,0,0,0,0.75,0,0,10.39,2.43,2.08,3.98,5.16,0,0,2.84,0,0.75,0,0,8.96,0,0
 48-58,0.38,1.7,181.48,0,0,7.56,0,1.49,0,0,11.38,0.44,0.89,16.92,1.94,0.43,0,0,0,0,0,0,4.22,0,0
 60-70,0,0,711.85,0,0.91,0.82,0,0,0,0,10.11,0,4.6,10.01,0.68,0,0,3.41,0,0,0,0,1.22,0,0
 72-82,0,0,851.88,0,0,8.03,0,0,0,0,29.6,1.64,0,26.02,1.43,1.12,0,0,0,0,0,2.71,14.12,0,9.51
 84-94,1.43,0,600.84,0,0.74,7.74,0,0,1.03,0,40.39,0,0,11.64,3.52,0,0,0,0,0,0,4.07,2.49,0,4.52
 96-106,0,0,567.11,0,0,6.52,1.66,0,0,0,24.81,0.73,0.76,8.02,0,0,0,2.19,0,0,0.61,0,10.83,0,0
108-118,3.55,0,526.66,0,0,1.62,0,0,0,0.6,31.21,0,0,10.91,2.29,3.07,0.91,0,0,0,0,3.71,7.85,0.54,0
120,0,0,277.03,2.29,0,8.08,0,0,0,0,18.54,0,0,5.09,1.29,1.47,0,0,0,0,0,0,9,0,0
