stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,151.03,825.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,123.74,892.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,7.94,0,0,0,0,0,0,0,0,0,0
  7-9,16.02,8.06,0,8.66,0,0,17.13,0,0,0,0,0,0,0,0,0,0,420.43,14.79,0,190.8,0,0,0,0,0,0,0,0
 10-12,0,10.52,0,9.34,0,0,17.4,0,0,0,0,0,0,0,0,0,0,281.29,0,0,71.63,0,0,13.85,0,0,0,0,0
 14-21,0.89,0,0,2.44,8.04,1.04,1.95,0,0,0.83,0,0,0,0,2.09,0,6.28,88.74,0.82,0,3.21,0,4.87,0,8.11,33.85,0,0.89,0
 24-34,0,0,0,0.7,8.65,3.65,1.85,0.62,0.67,2.16,0,0,0,0,10.59,0,6.68,77.94,0.6,0.68,0,0,0,0,7.12,34.94,0,0.83,0
 36-46,0,0,0,0,3.04,0,3.79,0,0.65,0,0,0,0,5.07,4.54,0,6,90.82,1.18,3.28,0,0,0,1.06,0,20.92,0,4.09,0.65
 48-58,0,0,0,0,0.39,0,14.12,0,1.69,4.09,2.39,0,0,0,4.08,0.6,1.7,68.92,16.4,0.93,0,0,0,0,0,12.8,0,1.65,0
 60-70,0,0,0,0,0.64,0,10.05,0,0,7.96,0.64,0,0.72,0,5.69,0,1.01,85.02,0,3.68,0,0,0,0,0,12.18,1.93,1.59,0
 72-82,0,0,3,0,2.55,0,23.39,0,0.79,9.17,0,1.32,2.82,0,6.51,2,0,52.41,0,3.47,0,0,0,0,0,12.34,0,6.05,0
 84-94,0,0,1.16,0,1.67,0,12.84,0,0,3.12,0.68,0,5.32,0,7.67,0,0,41.87,0,5.49,0,0,0,0,0,14.62,0,14.25,0
 96-106,0,0,0,0,3.4,0.59,15.8,0.57,0.8,7.35,1.28,0,3.75,0,5.48,0,1.02,48.27,0,1.75,0,0,0,0,0,0,0.85,19.62,0
108-118,0,0,0.91,0,2.7,0,14.03,0,1.67,16,3.62,0,0,0,10.84,0,4.39,88.23,1.4,3.8,0,0,0,0,0,10.04,0,6.07,0
120,0,0,0,0,0,0,23.97,0,0,0,15.77,0,1.76,0,1.85,0,0,108.27,0,8.16,0,1.9,0,5.04,0,21.27,0,19.99,0
