stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0,0
  5-6,16.36,195.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.93,4.3,0,9.03,0,0,0,27.18,0,0,0,0,0,11.81,0,0,0,0,0,0,0,0,0,0,0,184.88,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0,106.57,0,0,0,24.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,3.01,0,0,1.93,0,0,0,0,0,1.73,0,0,0,0,0,0,0,2.09,0,0,0.81,232.34,0,3.39,0,0.88,0,1.67,4.43,2.84,0,1.84,180.76,0,0,0,0,0
 24-34,0,0,3.12,0,6.46,0,0,20.34,0,1.61,0,1.65,0,0,0.76,0,0,0,0,0,0,12.62,0,0,3.12,1486.62,0,26.42,0,0,0,4.84,0,1.29,0,0.93,713.55,0,0,3.43,0,0
 36-46,0,0,0.73,0,2.6,0,0,54.8,0,6.72,0,10.24,0,0,0,0,0,1.11,0,0,7.13,11.26,0,0,0.79,3731.04,1,21.26,4.67,0,0,4.99,0,0,0,0,1085.86,0,0,0,0,0
 48-58,0,0,0,0,15.96,0.56,0,300.78,1.02,3.26,0,49.05,0,0,1.82,2.18,0,0,0,1.86,3.82,53.04,0,1.33,9.82,5212.24,1.09,10.07,0,0,0,6.11,0,0.56,6.36,0,959.63,0,0,6.23,0,19.45
 60-70,0,0,0,0,17.53,0.58,0,871.9,0,4.52,0,60.89,0,0,0,2.46,0,0,1.16,12.27,7.12,49.37,0.65,8.93,5.75,8394.18,1,24.74,2.17,0,0,20.17,0,1.87,0,0,1199,0,0,1.66,0,3.07
 72-82,0,0,0.62,0,27.61,15.59,0,2274.81,7.47,3.46,6.28,149.8,2.97,0,1.06,3.61,0,0.83,1.24,7.52,0,133.87,2.05,3.19,6.88,10282.67,0,20.71,2.87,0,1.12,13.97,0,0,0,0,1078.35,2.98,2.24,28.15,2.12,71.7
 84-94,0,0,2.25,0,60.47,8.35,0,1758.93,0,0,8.25,117.65,2.73,0,0,2.76,0,5.58,2.13,0,0,53.26,4.95,4.03,8.63,7742.5,0,29.17,2.14,0,0,16.58,0,0,0,0,769.77,1.79,3.45,0,2.46,9.8
 96-106,0,0,0,0,53.99,46.38,10.76,1922.18,6.79,11.72,3.38,135.34,5.31,0,0.58,4.39,9.11,9.56,0,20.92,9.03,81.35,0,12.01,1.23,6798.69,0,23.82,2.18,0,2.45,20.52,0,0,0.6,0,404.19,1.86,3.92,2.04,0,10.97
108-118,0,0,0,0,74.39,4.96,12.13,1940.41,1.3,1.28,0.5,170.9,3.65,0,1.18,0,2.14,0.69,3.13,10.2,0.51,82.54,1.08,6.63,9.64,10746.65,0,22.03,8.68,0,0,8.14,0,2.51,0,0,403.98,2.24,1.51,7,1.09,11.31
120,0,0,0,0,63.38,30.12,3.33,1480.86,9.8,4.05,2.81,98.16,11.19,0,1.85,22.33,0,0,0,0,0,89.73,0,0,9.83,10854.46,0,22.72,0,0,0,8.54,0,0,0,0,426.77,0,0,15.53,0,9.91
