stage,blastomeres,neural,notochord,paraxial_mesoderm,periderm
  3-4,39.47,0,0,0,9.75
  5-6,34.28,0,0,0,28.63
  7-9,0,0,6.48,7.43,0
 14-21,0,2.11,0,0,0
108-118,0,0,0,0,0.85
