stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0,0,0
  7-9,13.01,33.86,0,0,0,161.25,0,0,0,0,0,19.83,0,0,0,0,0,0,0,0,0,0,0,518.84,23.19,0,0,173.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.08,43.73,0,0,0,32.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.39,14.68,0,0,211.6,0,4.56,21.84,0,0,0,0,0,0,0,0
 14-21,0,0.86,14.69,5.92,0,9.11,0,0,0,1.82,0,0,0,0,0,0,0,0,0,9.72,0,0,7.53,217.55,2.67,2.68,0.91,4.22,0,14.94,1.8,2.93,25.16,76.92,0,0,0,0,0
 24-34,0,0,1.72,3.54,0,23.66,0,0.75,0,4.11,0,0,0,0,0.64,1.56,0,0,0,26.89,0,0,10.31,532.46,0.75,0,0.64,0,2.99,0,0,0,7.01,103.96,0,0,0.91,0,1.45
 36-46,0,0,1.78,0,0,98.35,2.12,0,2.26,12.02,0,0,0,0,0,0,0,0,0,27.14,0,1.39,4.72,1175.48,0,5.78,0,0,0,1.05,0,2.29,0,209.07,0,0,1.47,0,0
 48-58,0,0,0.54,0,0,198.98,0,0,1.31,31.88,0,0,0,0,0,0.47,1.36,0,7.89,44.92,0,0.4,5.78,1409.38,4.28,0,1.01,0,1.43,0,0,1.86,0,181.94,0,0,3.37,0.9,0
 60-70,0,0,1.91,0,0,392.29,0,1.09,1.28,54.05,2.28,0,0,0.6,0,0,0,0,0,28.75,0,1.73,3.39,1696.86,0,8.36,6.87,0,2.17,0,0,0,0,188.41,0,0.65,3.56,0,0
 72-82,0,0,4.65,0.55,0,299.81,0,0,0.89,28.72,0,0,0.86,0.95,0.53,2.49,10.84,0,0,33.66,0,0.7,4.76,1104.08,0,5.16,6.76,0,2.6,0,0.63,0,0,104.43,0,0.75,4.21,0,1.16
 84-94,0,0,2.11,0,0,188.42,0,0,0,15.75,0,0,0,0,0,1.2,0,0,0,27.57,0.75,1.44,2.07,613.5,0,1.27,1.72,0,3.23,0,0,0,0,58.82,0,0,0,0,0
 96-106,0,0,2.64,0,0,133.59,0,0,0,25,0.64,0,0,1.81,0.94,0,0,7.59,0,22.36,0,1.42,0.78,546.28,0,2.09,0.6,0,0.75,0,0.82,0.64,0,16.38,0,0,0,0,0
108-118,0,0,4.04,1.21,0.55,140.02,0,0,5.62,20.4,0.9,0,0,0.59,2.7,1.41,0.92,0,0,17.44,0,0,1.22,669.53,0,2.89,5.16,0,0.61,0,0,0.41,0,9.55,3.11,0.63,0,0.55,11.43
120,0,0,9.02,0,0,129.48,0,0,0,14.33,3.66,0,0,2.13,0,0,0,0,0,7.74,0,0,0,629.92,0,1.11,2.84,0,0,0,0,1.21,0,20.06,0,0,0,0,0
