stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.8,10.2,83.76,31.83,4.35,0,0,0,1.72,1.95,3.43,0,0,0.8,0,0.92,0,0,12.42,0,0,4.04,56.64,1.13,0,3.83,0.97,0,123.32,5.62,6.22,0,2.38,13.52,0,0,19.28,0,0
 24-34,0,3.46,45.82,1.29,2.69,0,3.76,0.89,0.94,1.98,0,0.92,0,2.51,0,2.66,0,0,17.98,4,0,3.6,45.16,0,11.09,7.28,0,0,287,0,5.82,0,0,10.92,0,0,96,0,3.36
 36-46,0,0,41.55,0,25.39,0,2.1,0,5.5,0.57,0,0,0,0,0,2.55,0,3.6,13.46,3.95,0,4.02,51.52,0,18,14.13,0,0,402.01,0,8.24,0,0,17.57,0,0,48.47,0,0
 48-58,0.44,0,24,0,9.07,0,12.05,1.13,10.48,0.89,1.73,0.42,0,8.33,0,2.93,1.84,1.68,26.68,3.42,0.43,4.22,40.92,0.39,10.06,7.26,0,0,207.5,0,2.51,0,0,22.38,0,0,28.54,0,8.82
 60-70,0,0,23.18,0,7.42,0,16.99,0.85,11.93,1.26,2.86,0.76,0,0.58,0,1.98,0,1.24,25.33,6.26,0,3.56,65.15,4.42,4,15.26,0,0,172.46,0,3.76,0,0,19.19,0.81,0,15.49,0,21.73
 72-82,1.21,0,27.19,0.55,22.28,0,18.21,0,29.26,2.55,1.12,0.86,2.23,3.07,4.76,5.73,0,0,62.91,5.89,1.09,5.06,73.23,1.92,17.54,13.6,0,0,183.62,0,5.4,0,0,15.35,0,0,30.56,2.11,21.56
 84-94,0.8,0,71.88,9.74,36.62,0,14.01,0,38.74,15.26,10.44,1.91,2.63,7.58,0.62,3.86,4.71,0,78.78,4.38,0,0,61.4,0,27.01,5.41,0,0,385.19,0,3.54,0,0,21.3,3.74,1.13,18.59,0,2.11
 96-106,3.11,1.03,79.6,13.51,43.45,0,11.78,3.57,80.19,14.95,0,2.28,1.36,8.87,0,16.72,1.84,0,58.07,12.93,0,4.28,64.28,0.62,29.85,6.68,0,0,285.14,0,0,4.11,0,20.43,2.08,7.96,37.97,0,13.19
108-118,1.13,0,86.6,0,81.51,0,24.04,9.07,60.36,17.74,0,0.61,0.53,6.59,0,6.84,2.54,0,62.13,15.43,2.48,1.89,53.12,3.73,13.49,17.31,0,3.27,226.45,0,1.64,0,0,7.35,5.13,0.6,38.19,3.05,4.86
120,0,1.28,99.52,0,62.22,1.18,13.9,7.23,113.55,5,0,8.23,2.14,3.6,0,12.08,0,1.55,56.72,3.54,0,1.36,50.72,0,18.05,3.05,0,5.9,204.57,0,1.26,0,0,10.1,4.83,0,55.45,0,5.68
