stage,eye,glial,neural,spinal.cord
 24-34,0,0,0.95,0
 36-46,0,0,0,1.29
 60-70,0,0,7.11,0
 72-82,0,0.56,5.74,1.7
 84-94,2.49,0,3.36,0
108-118,0,0,3.31,0
