stage,axial,blastomeres,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,muscle,neural,periderm,spinal_cord
  5-6,6.17,8.46,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.38,5.78,0
 10-12,0,0,0,0,0,0,0,0,24.93,0,0
 14-21,0,0,0,0,0,0,0,0,2.04,0,0
 24-34,0,0,0,0.66,0,0,0,0.65,10.95,0,1.44
 36-46,0,0,0,2.91,0,0,0,0,1.57,0,1.56
 48-58,0,0,0,0.54,0,0,0,0,0.66,0,0
 60-70,0,0,0,0.66,0,0,0,0,0.79,0,0
 72-82,0,0,0.88,0,0,0.54,1.37,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.09,0
 96-106,0,0,0,0,0,0,1.66,0,1.11,0,0
120,0,0,0,0,1.05,0,0,0,0,0,0
