stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,227.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0
  5-6,23.12,143.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,0,0,0,0,0,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,50.08,0,0,0,31.19,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.74,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.43,0,0,0,70.07,0,0,0,0,9.52,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.81,0,0,0,0,0,0,3.67,0.85,0,0,0,0,0,0,0,0,1.29,0,0,0,20.95,1.25,0,932.24,1.07,0,1.12,0,3.86,0.84,0,32.63,0,0,0,0,0
 24-34,0,0,0,0,10,1.92,0,27.36,0,0,0,3.72,0,0,0,0,0,0,0,0,0,8.65,0,0,2.75,198.56,0.6,0.9,3017.78,0,0,9.35,0,0,2.24,0.99,46.81,0,0,1.05,0,1.49
 36-46,0,0,0,0,3.32,0.67,0,45.58,0,0,0.78,3.52,0,0,10.59,5.51,0,0,0,0,6.95,6.34,0,1.14,5.72,216.78,2.62,0,2768.38,0,0,34.42,0,0,0,2.93,27.47,0,0,3.68,0,5.23
 48-58,0,0,0,0,10.46,0,0,74.65,0,0,0,14.68,0,0,0,0,0,0,0,0,4.85,12.94,0,0,0.41,179.84,0,1.06,2787.29,0,0,4.98,0,0,0,0,25.55,0,0,0,0,4.71
 60-70,0,0,0,0,3.79,0,0,59.68,0.65,0,0,10.23,31.71,0,10.66,60.82,0,0,0,0,0.71,13.47,0.85,0,1.58,145.58,0,0,2641.32,0,0,0,0,0,0,0,1.23,0,0.71,0,2.21,0
 72-82,0,0,1.32,0,11.59,1.04,0,93.31,0,0,0,17.64,1.1,0,0,20.06,0,0,3.03,3.56,0,90.93,0,1.08,0.57,190.39,0,1.56,4672,0,0,6.37,0.56,0,0,0,15.93,0,0,4.16,0.59,0
 84-94,0,0,0,0,41.87,0,0,138.18,0,6.26,0,28.71,0,0,0,1.65,3.02,0,0,2.29,4.86,24.8,0,0,1.17,147.76,1.61,0,8102.84,0,0,3.73,0,0,0,0,12.08,0,0,3.65,1.54,0.55
 96-106,0,0,0,0,327.04,40.75,0,129.59,0,36.94,0,48.31,1.2,0,0,9.58,3.72,2.05,6.94,24.39,0,71.83,100.88,3.29,5.03,167.66,0,2.02,8529.31,0,5.02,24.47,0,0,1.33,4.11,5.19,7.3,1.34,8.46,0,6.46
108-118,0,0,1.15,0,68.16,13.9,4.31,116.57,0,2.87,0.77,46.91,0,0,1.81,2.52,1.33,0.73,8.29,6.04,6.98,60.37,4.28,4.17,15.73,242.34,19.38,3.76,11165.17,0,0,22.02,0,0,0.87,0,11.94,0,14.91,3.13,0,8.03
120,13.39,0,0,0,478.44,34.17,0,73.52,2.98,87.04,0,164.58,13.99,0,6.79,14.06,2.57,0,0,4.74,0,49.44,0,0,0,242.6,0,0,9046.67,0,0,23.19,0,0,0,0,0,0,0,0,6.55,2.85
