stage,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,1.17,0,0,0,0,0,0.86,0,0,14.63,0,1.86,0,8.88,0,0
 24-34,2.16,0,0,0,0,0,0,1.14,0,11.9,0,2.37,0,4.44,0,0
 36-46,6.99,0,0,0.8,0,0,0,0.7,0,11.36,0,0.76,0,1.92,0,0
 48-58,2.84,0,0,0.67,0.58,0,0,3.46,0.65,9.68,0.85,0,0,3.61,1.4,0
 60-70,2.45,0,0.81,1.69,0,0,0,2.4,0,5.41,0,3,0,2.5,0,0
 72-82,4.49,0,0,0,0,0,0,2.58,0,7,0,0,1,1.19,0,0
 84-94,3.89,0,0,0,0,0,0,1.85,0,25.61,0,1.27,0,3.21,0,0
 96-106,0.76,1.81,0,0,0,0,0,2.93,0,11.91,0,0,0,1.71,0,1.79
108-118,0,0,0,0,0,0,0,0,0,1.13,2.13,0,0,0,0,0
120,10.5,0,0,5.82,0,1.69,0,8.8,0,1.64,0,0,0,0,3.76,0
