stage,axial,blastomeres,epidermis,eye,gut,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,9.45,69.86,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,10.68,0,0,0,0,0,0,0,0,0,7.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,59.5,0,9.82,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,31.9,3.95,15.45,0,9.54,0,0
 14-21,0,0,0,0,0,0,0,1.06,4.14,0,0,0,0,0,0
 24-34,0,0,0,1.07,0,0,0,0,3.54,0,0,4.43,0,0.75,3.08
 36-46,0,0,0,0,0,0,0,0.6,14.07,0,0,0,0,0,4.82
 48-58,0,0,0.8,1.34,0,0,0,0,6.55,0,0,0,0,0,0
 60-70,0,0,0,7.42,0,0,1.29,0.75,14.04,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,8.48,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,5.97,0,0,0,0,0,0
 96-106,0,0,0,1.68,0.81,0,0,0,2.26,0,0,0,0,0,0
108-118,0,0,0,0.45,0,0.73,0,0,0,0,0,0,0,0,0
120,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0
