stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,16.1,11.08,0,2.56,0,0,0,0,0,1.01,0,0,0,0.93,0,5.89,0,2.91,31.16,2.88,0,0.93,3.97,2.3,1.12,3.65,0.81,9,8.32,0,0,0
 24-34,0,1.41,0,0.8,1.32,0,0,0,0.73,0,0,0.77,0,0,0,0.97,2.59,0,19.16,0,0,1.38,0,5.7,0,0,0,2.74,0.72,0,1.61,0
 36-46,1.3,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,0,0,2.23,0,31.1,0,0,0,0,1.46,0,0,0
 48-58,1.33,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,1.15,0,1.39,0,0,0,0,0.79,0,0,0
 60-70,0.75,0.6,0,1.29,0,0,0,2.95,1.4,0,0,0,0,0,0,6.71,0,0.68,3.63,0,1.08,0,0,8.65,0,0,0.62,0,0,0,0,0
 72-82,0,0,0,10.62,0,0,0,0,0,0.59,0,0.61,0,2.17,0.49,0.57,0,0,5.98,0,0,2.07,0,5.35,0,0,0,0,0,0,0,0
 84-94,2.64,0.7,0,9.86,0,0.57,1.19,11.63,0,1.84,1.78,1.69,0,0,0,0.96,0,2.31,10.76,0,0,3.18,0,7.48,0,0,0,0,2.35,0,0,0.61
 96-106,3.96,9.94,0,0.65,0,0,0,2.47,0.76,0,0,0,0,3.08,0,0.84,0,0,11.08,0,0.81,0.77,0,2.01,0,0,0,0,0,0,0,0
108-118,1.97,4.6,1.4,12.07,0,0.98,0,0.79,0.52,0,0,1.83,1.31,0,0.59,1.76,0,0,9.57,0,0,7.64,0,6.96,0,0,0.43,0,0,0,0,0
120,8.16,0,3.32,7.16,0,21.4,0,0,1.21,0,0,4.13,0,0,4,6.46,0,0,4.28,0,0,0,0,7.8,0,0,0,0,0,2.39,0,0
