stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,1.99,0.84,0,0,0,0,0,0,0,0,0,2.13,0,0,5.13,0,0,0,0,1.09,2.33,0,0
 24-34,0,0,0.84,0.66,0,0,0,0,0.91,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0
 36-46,0.69,0,1.87,0,0,2.08,0,0,0.72,0,0,1.64,1.12,1.52,9.4,0.92,0.57,0,0,0,2.48,0,1.43
 48-58,0,0,7.35,0,1.29,1.16,0,0.42,0.63,0,0,0.63,2.75,0,4.32,1.09,0.42,0,0.38,0,1.56,0,0
 60-70,0,0,5.83,0,0,2.48,0.64,0,0,5.47,0,8.32,0,0,15.81,0,0,0,0,0,0,0,1.15
 72-82,0,0,5.98,0,0,0,0.99,0,1.84,0,0,0,0,0,3.47,0,0,0,0,0,0,0.75,0
 84-94,0,0,3.24,0,0,0,0,0,8.75,0,2.64,6.08,2.46,0,0,0,0,0,1.22,0,0,0,1.63
 96-106,2.87,0.82,0,0,0,0,2.26,0,17.16,0,0,0.58,0.68,0,5.97,0,0.73,5.52,0,0,0,0.72,0
108-118,1.69,0,1.18,0,0,0,6.29,0,6.32,0,0,0,0,0,1.21,0,0,1.23,0,0,0,0,0
120,0,1.14,2.84,0,0,0,3.28,0,4.69,0,0,0,0,0,15.98,0,0,0,1.81,0,0,0,0
