stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,45.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,34.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.43,0,64.26,0,52.5,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,27.12,406.51,3.54,0,0,369.24,0,6.2,0,5.15,0,104.3,0,0,0,0,0,0
 14-21,0,0,0,0,146.53,46.51,2.19,0,0,3.38,0,0,0,10.66,0,0,0,2187.18,0,0,7838.29,215.45,33.08,0,7.35,9.47,0,37,409.67,0.91,7.55,511.79,31.44,0,0,4.58,0,0
 24-34,0.88,0,2.25,1.34,55.31,5.17,10.93,0,32.75,3.45,0,10.52,0,1.95,0,94.09,1.22,1824.81,0,7.32,3693.75,317.46,0,0.96,1.37,0,54.34,3.18,65.34,1.72,0,86,30.99,0,0,7.12,0,2.71
 36-46,0,0,0,0,6.43,26.31,7.86,0,6.53,0,0,22.7,0,10.71,1.61,0,0,472.46,0,29.81,599.94,89.76,0,0,1.34,0,30.42,31.1,8.21,0,0,0,11.86,0,0,0,0,0
 48-58,0,0,0,0,0.71,0.68,19.04,1.24,0.48,0.42,0,11.32,0,0,0,0,0,237.41,0,32.38,132.16,18.54,0,0,0,0,22.66,22.31,3.76,0,0,0,0.39,0,0,2.69,0,0.49
 60-70,0,0,0,0,11.93,0,0,1.44,0.86,0,0,0,5.04,0,0,0,0,75.44,0.73,4.26,34.31,2.63,0,0,0,0,31.05,29,0,0,0,0,1.39,0,0,0.72,0,0
 72-82,0,0,0,0,16.03,0,10.51,2.2,0,1.54,0,0,0,8.63,0,0,0,50.15,0,47.84,12.86,14.68,0,0,0,0,15.53,51.68,0,0,0,0,0.93,0,0.52,0,0,0
 84-94,0,0,0,0,46.19,0,7.35,2.26,0,3.39,0.96,0,0,1.2,0,0,0,29.18,0.65,22.64,11.29,7,0,0,0.86,0,15.56,113.99,0,0.59,0,0,0,0.62,0,0,1.09,2.9
 96-106,0,0,0,0,117.87,0,6.74,3.53,0,2.93,1.01,0,2.35,18.32,0,0,0,42.62,2.06,12.39,11.42,31.83,0,1.99,0,0,0,412.44,0,0,0,0,0,0.72,0,0,0,0
108-118,0,0,0,0,125.13,0,1.86,9.14,1.21,2.21,1.98,0,1.48,22.57,3.12,2.4,0,49.63,12.63,38.86,4.66,14.82,0,0,0,0,0,462.2,0,0,0,0,0,5.73,0,0.54,0,0
120,0,0,0,0,171.45,6.39,0,7.88,0,0,0,0,0,4.62,3.38,0,0,10.59,2.06,10.86,0,4.64,0,0,0,0,9,255.35,0,0,0,0,0,0,2.68,0,0,0
