stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.46,6.67,0,0,22.18,0,0,0,0,0,0,0,0
 10-12,0,0,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.72,0,0,0,5.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.42,0,0,0,0,0,0,0,3.27,0,0,0,1.93,0,0,0,0,0,0,0,0,31.97,0,0,0,0,2.05,0,2.06,0,0,0,0,0
 24-34,0,0,0,39.8,0,0,0,0,0.84,0,0,0,0,0,1.2,0,0,0,0,0,0,1.96,0,1.68,402.11,0,265.9,0,0,21.97,0,2.26,0,0,7.93,0,0
 36-46,0,0,0,20.34,0,0,0.83,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,392.33,0,358.68,0,0,1.9,0,4.59,0,0,0,0,0
 48-58,0,0,0,0,0,0,13.93,0,0,0,0.49,0,0,0,0,0,4.06,0.42,0,0,2.57,0,0,0,520.6,0,458.72,0,0,0.58,0,3.46,0,0,0,0,0
 60-70,0,0,0,4.02,0,0,46.66,0,0,0,4.37,0,0,0,0,0,0,0,0,0,9.81,0,0,0,1764.49,0,227.72,0,0,0,0,10.64,0,4.75,1,0,2.71
 72-82,0,0.68,0,10.09,1.76,0,102.35,1.07,0,1.44,13.73,2.92,0,0.81,0,0,1.86,0,0,0,28.7,4.5,0,0.62,2563.44,0,619.43,0,0,0,0,4.35,2.33,0,0,0.5,7.8
 84-94,0,0,0,8.75,8.87,0.76,120.52,0,0,0,19.56,1.25,0.76,0,0.59,0,6.53,1.3,0,0.72,11.59,0,0,0,1604.2,0,724,0,0,5.97,0,14.44,1.06,7.44,0,0,17.48
 96-106,0,2.67,0,14.28,5.62,0,166.31,0,0.73,4.51,23.71,1.49,0,0.66,1.78,1,2.94,2.32,0.76,0,58.48,1.09,2.34,5,1890.26,0,969.13,3.08,0,7.58,0.77,32.36,0.8,11.94,8.72,0,10.31
108-118,0,0.76,0,71.3,2.7,6.12,61.79,0,0,0,9.5,3.82,0,0,0.8,0,0,0,1.03,0,45.99,0,2.55,3.45,3641.44,0,665.96,1.13,0,7.96,1.88,6.12,8.29,0,3.86,0,2.14
120,0,0,0,0,4.05,1.71,179.4,1.18,0,95.6,22.22,0,0,0,0,0,31.67,0,0,0,8.58,0,0,0,3997.13,3.99,838.78,7.82,0,1.01,0,0,0,0,0,0,0
