stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.92,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.83,48.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.99,0,0,0,0,0,7.87,0,0,0,0,0,0,0,0,26.71,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,30.07,0,0,0,20.9,0,0,0,0,10.59,0,0,0,0,0,0
 14-21,0,0,0,2.13,4.89,7.06,0,0,0,0,0,0,0,0,0,0,0,10.75,0,19.2,36.79,2.36,0,0,0.98,0,0,15.55,59.09,195.05,1.97,0,0,0.9,0,0
 24-34,0,0,1.32,1.19,0,6.86,0,0,0,0,0,0,0,0,0,0,0,22.59,0,14.1,50.11,0,0,0,0,0,2.15,0,3.96,24.61,10.09,0,0,0,0,0
 36-46,0,0,0,0,0,1.73,6.23,0.62,0,0.74,0,0,0.89,0,0,0,0,8.88,0,10.87,41.06,0,1.56,0,0,0,0,0,0.58,1.95,6.11,0,0,0,0,0
 48-58,0,0,0,0,0.45,10.36,6.35,0.39,0,1.22,0.92,0,0,0,0,0,0,9.21,0.41,3.53,78.81,0,0,6.58,0,0,0,0,3.93,0,9.57,0,0,0,0,6.47
 60-70,0,0,0,0.68,0,54.22,0,0,0,1.73,0,0,0,0,0,0.63,0,14.03,0,15.66,176.89,0,0,1.96,0,0,0.58,0,2.2,0,4.51,0,0,0,0,0
 72-82,0,0,0,2.73,6.3,103.7,2.53,0,0,2.67,0,0,2.08,0,0,0,0.58,12.26,0,6.67,205.25,0,0,0,0,1.4,0.75,0,0,0,18.5,0.74,1.21,0,0,8.1
 84-94,0,0,0,3.58,0,67.32,0,0,1.92,4.27,0,0,0,2.4,0.94,1.03,0,3.06,1.93,4.61,160.58,0,0,0,0,0,1.32,0,3.45,0,11.59,2.75,1.64,0,0.98,0
 96-106,0,0,0,0.61,0,93.78,7.79,0,0,7.03,0,0,0,0.74,0,2.42,0,3.92,0.63,3.19,142.24,0,4.75,0,0,0,0,0,0.6,0,2.28,0,1.93,4.28,0,0
108-118,0,0,0,1.69,6.34,67.48,8.16,0,0,8.93,0,0,0,0,0.74,0,0.42,14.85,0,6.65,208.26,0,0,0,0,0,7,0,0,0,3.47,0.56,0,0,0,0
120,0,0,0,3.3,0,126.05,0,0,0,2.06,0,0,0,0,0,0,1.15,8.06,0,17.31,409.01,1.77,0,0,0,0,0,0,0,0,5.98,0,0,3.24,0,0
