stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,20.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,491.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.59,0,0,0,25.45,0,0,0,0,0,0,0,0,0
 10-12,0,0,268.26,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,415.42,0,0,0,21.45,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0.87,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06,0,1.44,0,0,0,0.9,0,0.84,29.69,0,0,0,0
 24-34,0,0,0,0.76,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0.65,3.08,0,0,2.94,459.46,0,23.47,0,0,3.57,0,0,0,116.4,0,0,0.73,0
 36-46,0,0,0,0,0,0,15.06,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,1105.76,0,14.98,0,0,0.96,0,0,0,231.45,0,0,5.85,4.11
 48-58,0,0,0,0.6,0,0,105.21,2.57,0,5.29,0,0,0,0,0,0,0,0,8.83,0.82,0,6.35,1609.5,6.97,6.29,0,0,5.05,0,0,0,312.19,0,0,3.84,2.89
 60-70,0,0,0,1.45,0,0,213.81,0,9.08,16.5,0,0,3,4.6,0,0,0,0.71,8.67,0,0.7,1.02,2310.25,1,10.38,0,0,6.35,0,0,0,299.85,0,0,0,1.5
 72-82,0,0,0,3.22,1.59,0,297.63,0,6.91,19.34,0,0,0,0,0.53,0.83,0.88,0,26.97,0,0,0,1888.08,0,10,1.54,0,0,0,0,0,266.82,2.43,0,6.35,10.42
 84-94,0,0,0,2.91,0,0,184.65,0.68,4.06,9.67,0,0,0,0.59,0,0.64,0,0,17.52,0,3.04,0,1199.9,3.42,4.51,0,0,6.33,0,0,0,202.66,0,1.91,0,0
 96-106,0,1.82,0,8.42,7.47,0,110.82,1.35,0,8.36,1.38,0,0,8.13,0,8.13,0,0,27.44,0,0,0,942.76,0.7,17.85,0.79,0,0.97,0,0,0,75.86,0,0,0,6.81
108-118,0,0,0,13.36,0,3.08,148.57,0,0,8.14,0,0,0,0,0,0,0,0,15.19,1.14,0,3.85,1001.48,0,7.37,0,0,2.68,0,0,0,56.59,0,0,1.57,0
120,0,0,0,27.18,1.38,0,186.69,0,0,28.05,0,0,0,9.46,0,2.23,7.41,0,22.97,0,0,0,1754.52,0,29.84,15.78,0,6.45,0,3.15,0,67.53,0,0,0,0
