stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,64.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.48,0,76.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.42,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.8,39.86,6.69,0,0,0.8,0,0,0,1.06,4.46,0,0,0,0,0,0,0,2.97,0,0,0,238.67,0,3.47,0,0,0,0,6.58,3.61,141.65,0,0,0,0,0
 24-34,0,3.1,0,1.1,0,0,12.67,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,1.48,863.99,4.23,31.85,0,0,2.23,0,0,0.66,724.31,0,0,6.04,0,0
 36-46,0,1.35,0,3.49,0,0,118.69,0,0,0,2.14,0,0.57,0,0,0,0,5.06,0,3.11,0,0,0,1125.86,0,26.88,0,0,0,0,0,0,897.13,0,0,0.91,0,5.79
 48-58,0,0,0,5.45,0,0,594.18,0,0,0.47,22,0,0,4.28,0,9.3,0,0,0,25.4,0,1.54,0.59,1192.42,0,18.97,0,0,2.2,0,7.15,0,549.82,0,0,0.77,0,1.71
 60-70,0,1.44,0,26.17,0,0,4046.08,0,0,0,28.39,0,0,0,7.1,8.58,0,0,0,9.29,1.1,12.62,0.64,1443.69,0,23.28,0,0,0,0,0,0,541.42,0,0.71,4.79,0,7.62
 72-82,0,1.04,0,28.47,3.19,0,5499.5,0,1.49,6.98,68.22,5.27,1.78,0,0,3.53,0.95,19.78,0,22.1,0,1.65,0,1411.64,0,23.69,0.91,0,0.74,0,0,0,256.94,2.64,0.51,2.32,3.6,0
 84-94,0,10.21,0,33.93,5.59,0,3463.39,0,0.74,0,84.19,1.96,0,1.71,0,1.07,0,0.89,0,42.6,0.57,15.58,1.01,934.71,0,22.92,1.89,0,9.25,0,0,0,125.97,12.55,4.27,0,0,0
 96-106,0,3.51,0,17.12,2.14,0,3659.52,0,1.2,0,85.06,2,2.19,0.75,0,0.81,0.84,20.02,0,22.75,0,1.85,8.9,949.37,0.82,38.1,2.01,0,14.27,0.81,0,0,56.17,29.69,0,0.66,1.32,8.85
108-118,0,0.85,0,24.79,0,4.57,2818.72,0,0,0.48,55.39,0,0,3.62,2.7,2.19,0.64,2.84,4.49,23.93,0,7.09,1.49,843.87,0.93,30.12,0,0,16.61,7.07,0,0,30.31,16.35,0,0,6.47,2.33
120,0,0,0,27.35,4.51,0,2018.12,1.99,0,1.56,181.54,0,0,0,0,11.11,0,0,0,18.03,0,0,1.82,1480.06,0,18.11,9.28,0,0,0,0,0,79.51,15.16,0,0,0,0
