stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,102.97,1683.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.78,1996.73,0,0,0,0,0,0,0,0,0,0,0,30.6,0,0,0,0,0,0,0,0,0,0,92.01,7.03,0,0,18.66,0,15.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,271.09,111.14,0,94.75,0,0,0,207.28,0,0,0,0,0,430.57,0,0,0,0,0,0,0,0,0,0,1920.89,112.28,0,0,973.06,0,5.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,54.87,0,24.63,0,32.9,0,112.6,0,0,0,0,0,32.71,0,0,0,0,0,0,0,0,0,0,2983.51,78.71,0,0,1060.67,0,0,0,0,58.75,0,16.17,0,0,0,0,0,0
 14-21,0,0.9,0,6.72,297,23.16,0,20.4,0,1.76,0,9.44,8.98,0,1.15,0,3.33,0,0,0,28.71,0,0,51.6,219.36,13.96,1.44,2.7,9.42,0,2.02,0,128.48,1.06,95.79,421.93,96.18,0,0,4.91,0,0
 24-34,0,0,0,3.37,9.74,1.7,0,10.56,0,8.19,3.06,11.14,7.24,0,16.11,0.64,0.85,0,0.96,0,74.87,0,0.89,50.58,160.09,5.37,5.78,0,0,0,0,0,0,0,10.25,26.43,86.11,0,0,22.67,0,1.89
 36-46,0,0,1.03,0,3.37,0,0,26.55,0,1.75,3.17,6.78,0,0,12.55,0,0,0,0,7.32,112.83,0,1.98,31.48,184.92,1.31,10.07,0,0,0,0,0,0,0,14.12,0,226.63,0,0,14.54,0,1.26
 48-58,0,0,0.53,0,4.87,0,0,105.61,9.32,0,3.49,22.02,0,0,15.8,0.47,0,0,0,4.66,78.36,0,0.92,24.84,217.96,1.63,9.98,0,0,0.81,0,0,0,0,9.17,0,198.95,0,0.61,8.48,0,35.53
 60-70,0,0,0,0,2.78,0,0,392.37,3.21,9.54,4.1,26.38,0,0,12.66,6.48,0.61,1.77,0,12.71,83.53,0,3.07,9.86,216.23,0.75,13.99,1.97,0,9.78,6.72,0,0,0,1.91,0,81.22,0,0,6.33,0,23.31
 72-82,0,0,1.9,0,20.63,1.41,0,1266.64,5.97,0,10.47,92.39,0,0,7.6,7.03,0.9,1.89,5.32,20.23,189.72,1.03,11.45,29.94,542.45,4.45,20.01,2,0,15.07,0.6,0,0,0,3.93,0,151.61,0,9.01,20.3,6.47,16.16
 84-94,0,0,1.34,0,13.19,0.65,1.17,856.4,5.14,5.3,1.95,65.24,1.25,0,7.36,3.84,2.6,10.41,6.51,35.07,112.27,0,22.39,37.25,316.24,0,8.31,8.99,0,7.17,3.12,1.4,0,1.1,1.8,0,48.56,0,12.68,24.24,12.73,16.51
 96-106,0,0,1.62,0,24.74,10.12,1.7,1455.5,11.46,7.17,4.73,61,1.18,0,10.46,7.37,0.81,0.75,0,14.78,151.05,0,1.5,24.63,390.3,1.23,28.25,2.83,0,13.36,4.63,3.82,0,1.1,2.04,0,47.61,1.47,19.66,33.01,9.45,25.26
108-118,0,0,0,0,34.18,3.3,19.92,1729.72,7.03,4.94,2.55,64.55,8.77,0,3.21,22.34,3.59,24.28,1.58,25.99,164.68,0.59,21.06,43.82,537.55,0,10.87,0,0,16.44,0.58,0,0,2.53,3.96,0,49.65,3.65,41.03,24.17,4.04,20.59
120,0,0,0,0,35.02,1.1,8.66,1103.05,13.64,3.37,5.29,80.57,0,0,1.85,39.3,0,14.72,0,9.1,171.29,0,27.07,30.4,625.82,0,7.2,0,0,18.12,2.72,0,0,0,1.6,0,209.43,0,16.34,18.5,34.02,0
