stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,3.23,0,0,0,0,0,0,0,0
 14-21,0,1.85,0,0,0,0,0.98,0,0,0,0,0,0,0,1.68,0,0.89,0,0,0,0.84,6.18,0,0,0,0
 24-34,0,0,1.55,0,0,0,0,0,0,0,0,5.58,0,0,33.44,0,0,0,0,1.78,0,4.08,0,0,0,0
 36-46,0,0.71,3.91,0,0,0,2.1,0,0,0,0,0,0,0.59,46.26,0,0,0,0,0,0,6.89,0,0,0,0
 48-58,0,0.94,11.69,2.9,0,0,0.49,0,0,0.39,1.04,4.39,0,0,88.89,0,0.57,0,0,0,0,10.86,0,0.84,0,0
 60-70,0,0.97,20.99,19.39,0,0,0.72,0,0,0,0,7.4,0,2.02,44.59,0,0,0,0,2.67,0,5.85,0,0,0,0
 72-82,0,0.56,19.09,5.77,0,0,7.37,0,0,0,0,4.74,0.89,0,52.64,0,0,0,0.87,0.58,0,1.3,0,0,0,0
 84-94,0,0,7.67,22.68,0.62,0,1.16,2.66,0,0,0,0.58,0,2.72,45.76,0.72,0,0,0,0,0,3.32,0,0,0,0
 96-106,0,0.92,4.17,33.14,0.75,3.66,0,0,1.88,0,0,4.84,0,0,15.3,0,0,0,0,3.95,0,3.11,0,0,4.65,1.41
108-118,0,0,0.93,26.89,0,0,1.51,0,0,0,0,3.54,0,0,21.27,0,0.91,0,0,1.76,0,0,1.12,0,0,0
120,0,1.88,7.11,93.31,0,0,0,0,0,0,0,20.02,0,21.1,4.08,0,4.43,0,0,2.41,0,4.66,0,0,0,0
