stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,45.54,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0
  7-9,6.64,7.41,0,0,22.52,0,0,0,0,0,0,0,0,19.97,0,0,4.9,0,0,0,0,0,0,0
 10-12,0,0,14.41,0,5.13,0,0,0,0,0,0,0,0,82.97,0,0,7.98,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,2.08,0,0,0,0,0,0.81,0,0.83,30.18,0,0,0,0,1.24,2.46,14.4,0,0,0
 24-34,0,0,0,1.11,9.21,0,0,0,0,0,0.71,0,0.65,67.63,0,1.33,0,0.95,0,0,14.3,0,0,0.91
 36-46,0,0,0,0,7.52,0,0.63,0,0,0,3.4,0,0,139.74,0,0.95,0,0,0,0,25.56,0,0,0
 48-58,0,0,0,0,26.46,0,8.06,0,0,0,3.49,0,0,98.67,0.6,0.44,0,0,1.55,0,18.09,0,5.35,0
 60-70,0,0,0,0,41.36,0,3.75,0,0.76,0,8.53,0,1.66,72,0,0,0,0,0,0,5.53,0,2.21,0
 72-82,0,0,0,1.88,59.85,3.85,1.21,0,0.7,0,5.37,0,0,62.49,1.19,0,0,0,0,0,4.4,0,0,0
 84-94,0,0,0,1.92,29.44,0,6.32,0,0,0,5.21,0,0,43.47,0,0.79,0,0,0,0,2.6,0,1.16,0
 96-106,0,0,0,3.13,39.24,0,7.58,1.3,0,0,4.91,0,1.08,17.74,0,0,0,0,0,0,0,1.23,0,0
108-118,0,0,0,0.5,40.27,0,3.44,0,0,1.72,11.03,0,0,49.74,0,0,0,0,0,0,0,0,2.27,0
120,0,0,0,0,15.41,0,1.8,0,0,0,2.13,7.16,0,39.42,0,0,0,0,0,0,0,0,0,0
