stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,45.73,793.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.32,0,0,0,0
  5-6,60.17,1896,0,0,0,0,0,0,0,0,0,0,0,7.6,8.9,0,16.62,0,26.87,0,0,0,0
  7-9,45.36,42.14,115.63,0,8.92,118.74,0,0,0,64.84,0,0,0,1638.9,27.51,0,607.65,0,18.8,0,0,0,0
 10-12,0,35.56,107.03,0,20.23,132.08,0,0,0,30.17,0,0,0,1470.71,25.78,0,714.04,0,0,68.06,0,3.51,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,1.43,0,0,0,0
 24-34,0,0,0,0,0,0.63,0.71,0,0,0,0.62,0.9,0,14.71,0,0,0,0,0,0,0.71,1.86,0
 36-46,0,0,0,0,0,2.81,0,0.78,1.06,0,0,0.98,0,38.96,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.43,0,0,0.9,0,0,2.15,1.16,26.72,0,0,0,0,0,0,0,7.2,0.72
 60-70,0,0,0,0,0,27.96,0,0,0,0,0,0,0,22.23,0,0,0,8.44,0,0,0,0.81,0
 72-82,0,0,0,1.61,1,18.56,0,0,0.78,0,0,2.6,0,17.24,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,9.86,0,0,0,0,0,0,0,4.47,0,0,0,0,0.82,0,0,0,0
 96-106,0,0,0,0,8.94,2.67,0,0,1.81,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,7.98,0,0,0.83,0,0,1.16,0,10.66,0,1.04,0,0,0,0,0,0,0
120,0,0,0,0,0,17.7,0,0,0,0,0,0,0,42.36,0,0,0,0,0,0,0,0,0
