stage,axial,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,periderm,somites
  5-6,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.51,3.97,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.36,4.8,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.64
 36-46,0,0,0,0.59,0,0,0,0,0,0,6.77,0,0,0
 48-58,0,0,0,0,0,0.59,0,0,0,0,0.79,0,0,0
 60-70,0,3.26,0,0,0,0,0,1.02,0,0,0,0,0.82,0
 72-82,0,0.65,0,2.1,0.49,0,2.19,0,0,0,0.52,0,0,0
 84-94,0,0,1.52,1.01,0,0,0,0,1.36,0,0,0,0.75,0
108-118,0,0,0,1.57,0.75,0,1.48,0,1.31,0.78,0.49,0,0.51,0
120,0,14.12,0,0,0,0,0,0,0,0,16.47,0,0,0
