stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,29.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0
  7-9,0,12.13,0,0,0,0,0,0,0,0,0,0,0,0,7.46,4.5,0,0,0,0
 10-12,0,0,0,0,13.08,0,0,0,0,0,0,0,0,0,75.19,8.46,3.26,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1.75,0,0,2.7,0
 24-34,0,0,0,0,8.53,0,0,0,0,0,0.6,0,0,0,108.77,0,0,0,18.91,0
 36-46,0,0,0,0,4.86,0,0,0,0,0,0,0,0.7,0,194.12,0,0,0,14.54,0
 48-58,0,0,0,0,7.42,0,0,4.67,0,0,0,1.99,0,0,416.22,0,0,0.42,11.02,0
 60-70,0,0,1.15,0,75.61,0,0,27.09,0,0,0,12.07,0,0,469.02,0,0,0,59.63,0
 72-82,0,0,0.71,0,143.46,0,0,19.63,0.72,0,0,9.36,0,0,810.82,0,0,0,37.8,0
 84-94,0,0,0.56,0,82.46,2.27,0,13.13,0,0,0,4.23,1.37,0,377.13,0,0,0,20.47,0
 96-106,0,0,0,0,57.26,0,0.64,23.72,2.27,0,0,12.23,0,0,365.39,0,0,0,14.64,0
108-118,0,0,1.21,3.5,51.84,0.7,0,13.53,0,0,0,5.01,0,4.49,383.92,0,0,0,9.22,0
120,0,0,0,0,233.82,0,0,30.03,0,3.78,0,12.56,0,0,1362.31,1.38,0,0,21.21,13.4
