stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.05,578.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0
  5-6,0,170.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,78.84,0,0,0,0,0,0,0
  7-9,0,11.11,0,17.39,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.43,5.59,0,0,25.25,6.79,0,0,0,0,0,0,0
 10-12,0,0,0,7.76,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.38,0,0,0,18.08,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,7.44,0,0,0,0,0,0,0.86,0.94,0,0,0,0
 24-34,0,0,0,0,0.7,0,0,2.95,0,0,1.07,0.67,0,0,0.77,0,0.66,0.66,0,2.05,2.72,0,33.01,0,0,0,0,2.8,0,0,3.02,0,8.23,0,0
 36-46,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,13.21,0,0,0,0,6.45,0.61,0,5.72,0,1.06,0,0
 48-58,0,0,0,0,0.44,0,0,1.98,0,0,0,0,0,0,0,0,0.48,0,0,2.25,0.59,0,26.9,0,0.68,0,0,4.49,0,0,0,0,1.94,0,0
 60-70,0,0,0,0,5.97,0,0,9.26,0,0,0,0,7.24,0.59,0,0,0,0,1.64,1.14,0,1.06,0,0,0,0,0,5.68,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.65,0,5.3,0,0,1.57,0,0,2.04,0,0,1.23,0,0,4.52,0,0.97,4.43,0,0,0,0,5.69,0,0,0,0,0.6,0,16.75
 84-94,0,0,1.05,0,3.45,1.33,0,0.56,0.74,0,0,1.92,0,5.11,0,0,0,0,0.98,1.52,0.91,0.68,0,0,0,0.7,0,7.79,0,0,0,0,1.88,1.13,0
 96-106,0,0,0,0,0.57,0.8,0,0,0,0,0.96,4.18,0,3.5,0,0,0,0,0,9.06,0,0.62,14.04,0,0,0,0,20.84,0,0,0,0,1.25,0,0
108-118,0,0,0,0,0.92,5.92,0.85,0,1.29,1.09,2.78,2.5,0,2.7,0,0.44,0,0.56,0,0,0.53,1.49,0.49,0,0.55,0.43,0,9.49,0,0,0,1.82,4.29,0,0
120,0,0,0,0,3.74,0,0,0,0,2.94,0,1.73,0,2.37,0,0,0,1.28,0,1.66,0,0,4.49,0,0,0,0,22.53,0,0,0,0,20.85,0,0
