stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  3-4,211.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,11.66,0,0,0,0,0,0,0,0,0,23.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.89,0,0,0,0,0,0,0,0,3.73,0,0,107.68,0,0,8.39,0,0,4.37,0,0,0
 14-21,0,0,0,6.6,0,0,0,58.22,0,0,0,0,0,0.9,40.62,0,13.61,0,0,0,47.38,128.89,0,0
 24-34,0,0,0,0.6,0.75,0,0,43.31,0,0,0,0,0,2,34.09,12.93,3.06,0,0,0,3.46,66.73,0,0
 36-46,0,0,0,0,0,0,0,27.87,0,0,0,0,0,0.71,19.86,21.1,0.8,0,2.85,0,6.8,57.48,0,1.36
 48-58,0,0,0,0,2.51,0.69,0,25.4,0,0,1,0,1.33,0.39,28.32,16.36,0.94,0,0.72,0,0.92,42.06,0,0
 60-70,0,0,0,5.42,0,0,0,16.5,0,0,0,1.45,0,1.38,17.97,19.08,7.83,0,0,0,4.67,29.21,0,0
 72-82,0,1.56,0,0,4.01,0,0,17.81,0,0,1.46,0,0,1.02,6.47,17.33,3.51,0,0,0,8.23,11.35,0,0
 84-94,0,0.66,0,0,0.55,0,0.87,18.01,6.01,0,0.58,0,0,2.97,2.24,18.03,3.71,0,0,1.4,1.28,7.69,0,0
 96-106,0,1.91,1.07,0.92,0.67,0,0,25.25,0,0,4.4,0,0,1.81,3.52,31.07,12.27,0,0,0,0,3.43,2.08,0
108-118,0,0.71,0,0,0.58,0,0,19.71,0,0,3.47,3.13,0,4.2,8.95,19.4,4.38,0,0,0,0,6.44,0.55,0
120,0,0,0,0,1.56,0,0,12.26,0,1.63,2.63,0,0,2.5,23.6,24.25,13.47,0,1.58,0,0,0,0,0
