stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,45.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.42,0,0,0,0,0,0,0,0,7.37,0,0,3.86,0,0,0,0,0
 10-12,0,0,0,4.05,0,0,0,0,0,16.95,0,0,0,0,12.63,0,0,0
 14-21,0,2.14,0,0,0,0,0,0,2.25,3.32,1.03,0,0,1.06,0,0.85,3.29,0
 24-34,0,0,0,1.06,0,0,0,0.62,0,15.31,0,0,0,0,0,0,0,0.93
 36-46,0,0,0,2.38,0,0,0,0,0,18.24,0,0,0,0,0,0,0.68,0
 48-58,0,0,0,2.14,0.55,0,0,0.42,0,3.62,0,0,0,0,0,0,0,0
 60-70,0,0,0,4.87,0,1.16,0,0.65,0,10.84,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0.64,0,0.8,0,5.1,0,5.67,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.89,0,1.8,0,0,0,1.21,0,0,0,0,0,0,0,0.74
 96-106,0,0,0,0,0,0,1.27,2.82,0,2.98,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.84,0,13.84,0,0,0,0,0,0,0,0
120,0,0,1.63,0,0,0,0,4.15,0,0,0,2.2,0,0,0,0,3.5,0
