stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.95,0,0,7.58,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0
 14-21,0,1.01,0.85,0,0,0,0,0,0,0,0,0,14.09,0,0,0,0,3.43,0,0
 24-34,0,0,1.46,0.81,0.6,0,0,0,0,0,0,1.06,21.11,0,0,0,4.66,0,0,0
 36-46,0.98,0,0,0,1.73,0,2.04,0,0,0.69,0,0,11.47,0,0,0,12.43,0,0,0.8
 48-58,0,0,0,0,0.44,0,0,0,0,4.5,0,0,9.52,0,0,0,0,0,0,2.59
 60-70,0,0,0,0,14.6,0,0,0,0,5.75,0.84,0,9.6,0,0,0,4.35,0,0,0
 72-82,0,0,2.06,0,0.58,0,0,0,0,11.47,1.43,0,15.14,0,0.9,0,3.15,2.71,0,0
 84-94,0,0,0.57,0,0,0,0,1.12,0.79,0,0,0,5.99,0,7.7,0,7.3,8.74,0,1.29
 96-106,1.23,0,0,0,7.14,0,0,0,0,0.85,1.34,0,15.13,0.64,0,0,3.84,1.3,0.79,0.97
108-118,0,0,0,0,1.67,0,0,2.91,0,10.47,0,0,5.49,0.67,0,0,4.09,0,0,0
120,0,0,0,0,2.76,9.34,0,0,4.78,8.64,11.39,0,7.09,0,0,0,0,0,0,0
