stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,6.85,0,0,0,0,0,0
 10-12,0,7.26,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0,3.87,0,0,0,0,0,0
 14-21,0,0,1.69,0,0,1.83,0,0,0,0,0,0,0,2.3,0,0,30,0,0,0,0,0,0.81,3.06,3.47,0,0
 24-34,0.83,0.59,0.6,0,0,8.38,4.16,1.08,0,0,0,0,0,5.9,0,1.54,112.67,0.61,0.99,0.96,0,5.08,0,0.61,22.49,6.9,0
 36-46,0,0,1.63,0,0,16.74,0,0,0,9.47,0.64,0,0,3.77,0,0,73.58,0.82,0,0,0,6.91,0,0,11.29,0,0
 48-58,0,0,1.3,0,0,16.06,0,0.48,0,0,0,0,0,9.19,0,0.71,42.95,0,0,0,0,0.62,0,0,4.18,0.49,0
 60-70,0,0,7.36,0,0,12.8,0,2.04,0,0,0.65,0,0,2.74,0,0,9.85,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.62,0,0.64,0,0,0,0,0,4.6,0.51,0,12.98,0,0,1.57,0,0.69,0,0,0,0,0
 84-94,0,0,0,0,0,2.56,0,0,0,0,0,0,0,1.67,0,0.68,10.63,0,0,0.66,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.94,0,0,1.32,0,1,0.72,1.1,0.98,0,0,8.94,0,0,0,0,0,0,0,0,1.49,4.26
108-118,0,0,0.52,0,1.7,7.77,0,0,0,0,0.63,0,0,9.28,0,0,23.05,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.23,0,0,0,0,0,0,2.44,0,0,6.93,0,0,4.95,0,0,0,0,0,0,0,0,0,0
