stage,endoderm,epidermis,erythrocytes,eye,glial,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0.93,1.28,0,1.25,0,0,0,0,0,0,6.32,0,0,0,0.82,2.76,4.33,0
 24-34,0,0.85,1.28,7.34,1.72,0,0,4.11,0,0,64.72,0,0.63,1.88,0,9.05,0,0
 36-46,0,6.73,0,5.97,0,0,0,0.67,0,0,49.66,0,0,0.63,0,2.47,0,0
 48-58,0,0,0,32,0.43,0.39,0,2.59,0.5,0.88,25.52,0,2.66,1.19,0,3.4,0,0.66
 60-70,0,0.88,0,15.73,2.48,0,0,3.28,0,0,15.89,1.17,2.96,0,0,0,0,0
 72-82,0,0,0,3.55,0,0,0,2.15,0,0,1,0,0,0,0,0,0,0
 84-94,0,3.1,0,6.91,0,0,1.2,0,0,0,0.62,0,0,0,0,0,0,0
 96-106,0,0,0,1.31,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.55,0,0,0,0.51,0,0,2.47,0,0,0,0,0,0,0
120,0,0,3.39,7.25,3.12,0,0,1.7,0,0,16.41,0,0,0,0,0,3.69,0
