stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,91.33,0,0,0,0,0,0,0,0,0,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.77,9.35,4.13,0,0,4.46,0,0,0,0,0,0,0,0,100.18,0,0,0,80.16,0,0,0,0,0,0,0
 10-12,0,5.27,9.46,0,0,0,0,0,0,0,0,0,0,0,107.3,0,0,0,57.46,0,0,12.59,0,0,0,0
 14-21,0,0,0,2.76,3.56,0.96,8.15,0,0,0,0,13.19,0,11.07,0.81,0.88,0,1.5,0,0,1.42,10.66,20.42,0,0,1.01
 24-34,0,0,0.6,1.23,0,0,7.59,0,0,0,0,19.24,0,8.3,8.8,0,3.21,1,0,0.6,1.03,19.94,25.34,0,0,8.14
 36-46,0,0,0,0.73,0,0,4.88,0,0,0,0,26.03,0,0.57,3.01,0,6.94,0,0,0,0,17.93,17.43,0,0,0
 48-58,0,0,0,4.3,0,0,6.01,0,0,0,0,30.9,0.4,3.88,10.68,0,10.41,0,0,0,0,10.88,15.2,0,0,1.22
 60-70,0,0,0,1.17,0,0,1.54,0,0,0,0,37.95,2.08,2.24,11.66,0,1.26,4.53,0,0,0,14.53,29.14,0,0,0
 72-82,0,0,0,0,0,7.21,5.13,0,0,0,0,27.35,0,4.16,29.92,0,12.62,3.04,0,0.62,0,1.88,11.21,0,1.26,0
 84-94,0,0,0,1.45,0,2.26,0,0,0,0,0.62,34.13,0,0,20.13,0,11.63,18.28,0,0.72,0,9.07,2.4,0,0,1.7
 96-106,0,0,0,0.95,0,0,2.34,0,0,0,0,8.13,0,0,23.57,0,8.81,11.89,0,0,0,0,8.29,0,0,0
108-118,0,0,0,0.53,0,0.78,2.92,0,0,0,0,24.07,0,0,40.17,0,13.63,5.94,0,0,0,2.94,0.61,1.2,0,0
120,0,0,0,0,0,0,0,2.09,2.13,1.63,3.04,10.01,0,0,28.15,0,36.37,0,0,0,0,4.05,4.02,2.37,0,0
